AL,ANONYMOUS_1,CA,S,V40,FE,U4,PQINDEX,U6,B,ZN,P,CU,U14,BA,U20,MG,SI,U25,U50,Y_LABEL
0,3135,73,2043,53.5,2,6814.0,5,1141.0,0,307,322,23,56.0,0,17.0,0,1,14.0,3.0,0
4,2249,3610,1126,45.0,3,10231.0,7,4456.0,9,664,428,7,248.0,0,56.0,2,4,23.0,0.0,0
4,1261,2699,1146,44.7,4,44077.0,16,19174.0,6,712,453,9,244.0,2,36.0,4,1,34.0,1.0,0
9,2226,3099,5123,58.7,3,656.0,11,132.0,137,546,392,0,5.0,0,1.0,2,2,1.0,0.0,0
103,1676,41,4247,53.0,4,2434.0,0,665.0,125,550,395,2,54.0,2,20.0,0,0,14.0,14.0,1
2,4137,12,3393,47.8,11,36428.0,90,33207.0,3,296,224,1,634.0,0,34.0,0,0,8.0,4.0,0
3,1707,811,4020,54.4,3,11579.0,10,1545.0,86,484,350,80,339.0,0,326.0,2,5,229.0,18.0,0
84,2068,165,1174,45.3,3,4501.0,9,618.0,4,602,410,6,29.0,2,7.0,3,2,3.0,3.0,1
0,1413,28,2073,58.9,4,36429.0,10,8769.0,3,339,247,12,23.0,0,6.0,0,0,4.0,2.0,0
0,1415,150,1279,42.6,4,37014.0,14,9838.0,0,703,569,35,72.0,0,9.0,1,0,6.0,0.0,0
3,3495,124,1387,45.7,1,2269.0,0,77.0,4,615,398,14,4.0,0,3.0,1,0,2.0,0.0,0
4,5550,81,1123,44.9,2,16116.0,5,3720.0,0,643,507,19,151.0,0,26.0,2,0,13.0,12.0,0
2,1346,2317,1075,44.4,4,1575.0,11,238.0,9,684,448,5,48.0,0,22.0,2,2,11.0,7.0,0
3,3053,3318,1511,46.8,2,1017.0,10,206.0,167,754,436,6,10.0,0,2.0,0,0,1.0,0.0,0
2,3972,2963,2723,50.0,3,1208.0,7,50.0,4,672,433,8,4.0,0,2.0,0,4,1.0,1.0,0
0,2052,130,1610,45.6,6,43823.0,24,31988.0,18,687,442,7,1381.0,0,145.0,2,6,100.0,1.0,0
1,2400,16,1432,44.3,7,5895.0,10,1562.0,0,719,450,9,97.0,2,22.0,1,4,8.0,8.0,0
3,1337,2348,1637,44.0,4,228.0,8,38.0,2,803,494,5,3.0,0,2.0,0,5,1.0,1.0,0
6,2393,2967,3188,52.2,5,1284.0,6,559.0,2,495,336,6,45.0,0,13.0,1,1,12.0,0.0,0
0,2125,132,6517,66.9,17,19360.0,26,13956.0,17,212,173,7,821.0,0,207.0,0,1,87.0,12.0,0
5,1188,2893,1045,44.2,21,9345.0,16,2289.0,15,687,470,138,104.0,7,17.0,2,0,7.0,0.0,0
9,1384,3187,1150,44.7,33,30810.0,22,2010.0,117,663,466,136,37.0,0,2.0,16,1,1.0,0.0,0
2,6104,15,923,48.1,7,8143.0,6,69.0,168,555,391,13,5.0,0,2.0,3,0,2.0,0.0,0
4,2093,2899,11610,65.1,17,14871.0,22,7988.0,132,295,216,14,225.0,0,59.0,3,4,23.0,0.0,0
4,1702,26,1092,43.9,115,1282.0,92,276.0,2,704,522,324,20.0,0,13.0,2,2,11.0,10.0,0
12,4872,79,1098,45.7,2,1626.0,6,310.0,0,654,449,9,19.0,0,7.0,3,0,5.0,5.0,0
5,8331,3484,1253,44.5,4,5803.0,6,1512.0,89,734,478,5,88.0,0,16.0,0,0,9.0,6.0,0
0,1738,135,1411,44.0,5,10334.0,11,3353.0,21,713,469,4,181.0,0,42.0,2,4,31.0,1.0,0
3,1352,3008,5685,70.9,3,21901.0,9,6821.0,96,50,96,5,250.0,3,35.0,0,0,24.0,0.0,0
3,8021,2386,4762,67.3,13,27096.0,10,3079.0,37,177,198,35,40.0,0,2.0,1,30,2.0,0.0,0
3,1805,27,4719,55.9,9,43382.0,6,21711.0,159,500,363,12,40.0,2,16.0,2,3,14.0,0.0,0
4,5210,18,6113,68.1,9,34120.0,10,5609.0,2,20,45,5,7.0,0,3.0,0,0,2.0,0.0,0
2,5552,62,6928,66.4,8,27878.0,2,1337.0,3,235,201,4,50.0,0,19.0,0,1,12.0,0.0,0
3,2931,3137,3573,50.2,7,2186.0,6,332.0,152,519,361,11,13.0,0,5.0,2,0,3.0,0.0,0
2,1352,2734,984,44.0,2,4861.0,5,1116.0,80,412,293,2,90.0,2,25.0,1,1,24.0,16.0,1
149,6626,21,1291,45.5,4,1987.0,15,126.0,140,644,447,162,4.0,0,2.0,3,0,0.0,0.0,1
0,2138,129,1394,44.7,8,3334.0,9,440.0,15,769,492,10,20.0,0,7.0,5,17,3.0,1.0,0
1,7236,63,4536,65.6,3,21558.0,42,6102.0,3,310,256,3,133.0,0,45.0,5,1,25.0,4.0,0
2,1714,2160,1066,44.8,2,5073.0,3,558.0,14,639,408,133,8.0,0,3.0,2,2,1.0,0.0,1
2,8909,26,1502,46.1,4,1859.0,5,442.0,2,666,510,14,18.0,0,4.0,2,0,4.0,3.0,0
0,1357,23,1346,45.2,3,20067.0,6,823.0,0,770,519,161,29.0,2,13.0,0,0,12.0,0.0,0
0,6552,107,7511,45.2,5,5734.0,21,1116.0,5,234,195,0,25.0,0,4.0,0,0,3.0,2.0,0
8,4168,3068,4881,46.3,76,22114.0,31,1723.0,120,384,321,176,10.0,0,3.0,0,1,3.0,0.0,0
7,1172,2539,4773,52.7,5,6328.0,10,1392.0,0,529,384,4,41.0,10,7.0,0,2,6.0,1.0,0
3,1352,3286,1389,45.6,3,13259.0,8,6303.0,1,628,369,8,330.0,0,106.0,3,5,74.0,9.0,0
0,1350,127,1053,43.1,5,189589.0,9,125768.0,19,600,440,7,2765.0,0,105.0,2,3,20.0,0.0,0
2,4745,49,1203,43.3,1,2744.0,7,285.0,0,717,468,4,9.0,0,2.0,2,0,2.0,0.0,0
5,1943,3463,1638,45.0,3,5032.0,9,2375.0,133,781,544,9,163.0,0,32.0,3,0,15.0,0.0,0
0,1674,26,1366,44.0,55,14322.0,15,1490.0,170,649,457,204,90.0,0,11.0,7,2,7.0,0.0,1
3,5176,498,1163,44.9,2,822.0,14,214.0,43,580,379,12,14.0,0,3.0,2,2,2.0,1.0,0
1,1996,2998,4960,46.2,6,8415.0,6,1681.0,2,194,148,0,100.0,0,31.0,1,1,17.0,16.0,0
0,2031,60,5299,65.3,3,6466.0,12,815.0,6,228,183,34,17.0,0,7.0,1,5,4.0,0.0,0
0,6453,2215,1768,45.7,2,10278.0,7,2567.0,2,631,444,141,381.0,0,303.0,2,3,204.0,43.0,0
2,2032,165,4218,50.5,0,6515.0,14,1674.0,18,400,310,59,112.0,0,13.0,15,0,3.0,0.0,0
1,1000,2444,7125,72.2,6,20023.0,12,2710.0,0,328,276,3,68.0,0,6.0,4,19,3.0,2.0,0
0,5123,34,1256,44.4,20,6936.0,14,1534.0,0,683,451,9,67.0,0,10.0,3,2,10.0,0.0,0
0,1709,119,7517,72.8,5,16092.0,16,2967.0,1,426,368,3,17.0,0,1.0,3,17,1.0,0.0,0
0,1728,131,1568,45.9,2,6875.0,4,3297.0,7,678,432,5,162.0,0,50.0,0,3,30.0,1.0,0
0,1600,12,7707,65.1,4,18775.0,20,6402.0,0,79,81,9,269.0,1,56.0,3,0,46.0,0.0,0
4,2789,2539,1882,47.0,3,5850.0,2,2588.0,8,630,412,4,177.0,0,30.0,2,0,19.0,17.0,0
1,1730,2668,6451,56.5,16,12348.0,17,12221.0,1,507,377,3,1088.0,0,83.0,4,4,29.0,0.0,0
8,1730,20,4473,44.4,12,5002.0,12,214.0,2,259,196,2,18.0,0,10.0,0,2,8.0,7.0,0
12,2082,3973,1387,44.0,57,7503.0,7,605.0,115,677,507,275,21.0,0,9.0,2,2,8.0,0.0,0
2,1363,22,1258,44.7,8,2986.0,10,1030.0,0,744,450,5,70.0,4,14.0,2,19,5.0,4.0,0
0,2110,31,4181,56.7,4,5984.0,18,634.0,23,418,305,2,68.0,0,19.0,0,2,11.0,8.0,0
7,2138,3212,6523,72.1,9,20863.0,16,4361.0,98,35,79,0,274.0,0,77.0,0,0,76.0,4.0,0
2,1612,3167,1637,45.6,2,1204.0,16,79.0,288,809,525,8,3.0,1,1.0,0,0,1.0,0.0,0
2,1749,2593,1254,45.5,2,14179.0,8,270.0,2,646,407,92,23.0,0,6.0,2,3,4.0,0.0,0
0,5198,20,2515,51.5,2,6940.0,5,150.0,4,412,316,8,6.0,0,3.0,1,0,1.0,0.0,0
4,1634,3163,3997,43.8,31,33769.0,20,7720.0,103,156,146,68,59.0,3,5.0,0,1,3.0,0.0,0
3,1601,3092,8234,49.1,12,18921.0,32,7193.0,145,225,205,19,168.0,0,19.0,2,2,18.0,1.0,0
2,2400,29,1160,45.1,4,4473.0,14,958.0,68,717,446,7,28.0,0,6.0,3,2,2.0,0.0,0
3,2400,3729,5409,67.0,12,24023.0,20,8431.0,4,191,201,33,355.0,0,39.0,2,31,11.0,4.0,0
4,1518,3360,8004,69.9,6,12492.0,21,821.0,189,401,327,3,25.0,0,6.0,17,0,3.0,0.0,0
3,1161,2897,9806,67.2,125,20807.0,72,8211.0,21,154,162,25,531.0,3,192.0,11,2,138.0,6.0,0
1,2717,42,3740,47.3,6,6544.0,8,358.0,168,587,434,9,2.0,0,1.0,2,2,1.0,0.0,0
7,1574,2781,5333,54.3,7,28290.0,12,12733.0,234,158,131,19,442.0,0,89.0,2,3,38.0,32.0,0
0,1371,147,1305,48.6,5,18553.0,5,849.0,22,589,441,22,27.0,0,12.0,1,4,11.0,1.0,0
4,2748,18,876,45.5,1,2518.0,9,1223.0,6,637,431,4,116.0,0,29.0,0,0,27.0,19.0,0
9,6542,47,2707,46.5,2,3533.0,20,1316.0,0,705,536,6,310.0,0,291.0,2,0,168.0,156.0,0
3,1424,3283,3931,46.1,39,19049.0,7,1787.0,62,1313,1284,112,27.0,0,10.0,10,15,6.0,0.0,0
0,1687,263,1034,44.1,2,14683.0,8,3639.0,9,628,418,91,115.0,0,15.0,2,0,7.0,0.0,0
6,1876,87,1364,44.5,4,5208.0,21,407.0,193,665,452,10,2.0,0,1.0,1,2,1.0,0.0,0
1,1587,3350,3706,50.3,6,1151.0,5,268.0,0,521,443,8,41.0,0,18.0,0,1,16.0,0.0,0
0,3163,26,7382,67.6,5,2140.0,10,268.0,177,467,377,55,21.0,0,6.0,2,1,3.0,0.0,0
3,1401,52,10280,62.8,2,12631.0,18,4994.0,5,271,244,3,207.0,0,31.0,19,1,15.0,0.0,0
1,1350,3228,4147,64.5,15,3323.0,8,694.0,122,450,342,109,69.0,2,36.0,0,1,28.0,0.0,0
0,2056,120,1246,44.0,1,1340.0,5,263.0,0,692,575,28,10.0,0,4.0,2,1,3.0,3.0,0
10,1206,22,6000,57.8,7,22861.0,34,4053.0,1,429,305,6,115.0,3,14.0,0,3,4.0,3.0,0
0,2087,16,5144,53.8,14,16341.0,13,1878.0,0,499,354,5,56.0,0,16.0,5,4,13.0,2.0,0
6,2077,3152,7377,66.7,6,39769.0,759,24686.0,387,276,217,2,2360.0,0,258.0,0,1,102.0,75.0,0
2,1000,3142,6349,43.0,4,2245.0,25,175.0,4,199,163,1,5.0,0,1.0,0,0,1.0,1.0,0
0,1441,16,1296,44.2,6,22927.0,5,7009.0,3,656,449,8,280.0,0,46.0,4,3,23.0,12.0,0
0,6103,3394,1166,45.7,2,3291.0,6,436.0,120,743,474,10,12.0,0,7.0,2,3,4.0,1.0,0
5,2369,30,3398,52.4,60,17496.0,26,5746.0,174,442,355,118,250.0,0,13.0,4,2,3.0,0.0,0
0,8407,8,965,45.6,0,2139.0,14,339.0,161,538,377,21,6.0,0,2.0,0,0,1.0,1.0,0
123,1401,42,1796,45.3,173,6788.0,38,1351.0,1,616,464,282,139.0,2,21.0,2,2,14.0,0.0,1
5,2773,114,5671,65.0,9,8533.0,5,517.0,2,162,168,43,35.0,0,13.0,3,22,6.0,5.0,0
2,1715,2576,1239,44.3,5,10033.0,5,296.0,21,708,455,176,7.0,0,3.0,4,4,1.0,0.0,0
2,3307,18,1684,44.5,3,17037.0,5,2310.0,2,721,499,252,51.0,0,28.0,3,1,26.0,0.0,0
3,1185,2619,1249,44.3,5,9843.0,15,3580.0,21,685,454,9,144.0,2,31.0,0,4,15.0,0.0,0
9,7848,3619,4035,64.8,5,1725.0,26,244.0,441,351,407,5,24.0,0,6.0,4,3,4.0,0.0,0
0,6880,3296,2423,47.3,6,1494.0,15,463.0,103,560,403,11,39.0,0,14.0,3,12,13.0,9.0,0
0,1642,17,1220,44.8,4,22053.0,2,3095.0,148,662,446,8,149.0,0,32.0,2,2,21.0,1.0,0
3,2036,2978,1242,43.9,2,13264.0,9,3378.0,386,689,504,167,57.0,0,13.0,1,0,4.0,0.0,0
7,2034,150,1233,45.3,18,26491.0,4,5697.0,159,657,457,169,184.0,0,56.0,3,3,16.0,0.0,0
3,1312,23,1431,44.4,4,1946.0,17,226.0,5,742,481,32,9.0,4,1.0,2,1,1.0,0.0,0
2,2137,53,1272,45.9,5,3182.0,5,1829.0,5,667,460,1,216.0,0,62.0,1,2,46.0,37.0,0
0,1717,26,1178,44.0,6,18130.0,7,9735.0,73,659,439,10,376.0,0,44.0,2,6,9.0,0.0,0
1,2073,2945,4853,70.6,11,316822.0,20,28538.0,6,393,311,2,212.0,0,102.0,0,3,23.0,0.0,0
10,1389,6,1879,56.7,8,28119.0,23,7194.0,3,503,361,7,422.0,0,85.0,3,21,65.0,0.0,0
3,1350,2924,5114,50.5,7,11294.0,14,3290.0,392,647,461,3,72.0,0,14.0,2,2,4.0,3.0,0
6,1714,3088,4992,65.2,4,11905.0,5,2401.0,86,131,142,40,86.0,1,11.0,2,7,10.0,0.0,0
2,1577,12,1330,44.0,29,13523.0,11,5945.0,151,599,441,139,280.0,1,98.0,2,3,45.0,1.0,0
2,1373,74,1205,45.4,7,4406.0,10,1314.0,7,650,443,27,304.0,2,22.0,4,4,7.0,3.0,0
2,3166,3074,2954,58.1,2,2534.0,3,57.0,7,232,189,52,4.0,0,1.0,0,2,1.0,0.0,0
6,2506,75,1161,45.2,3,50525.0,12,20141.0,12,683,457,19,261.0,0,38.0,2,0,12.0,0.0,0
2,5179,970,5089,53.4,15,32052.0,18,8522.0,4,590,416,5,58.0,0,5.0,17,1,1.0,1.0,0
6,2369,3272,6984,72.3,8,21698.0,13,3136.0,115,269,231,4,193.0,0,36.0,0,2,12.0,8.0,0
7,4973,60,1535,47.5,2,12642.0,5,1234.0,7,490,342,1,58.0,0,18.0,3,0,13.0,9.0,1
9,2243,3405,4223,65.0,16,10979.0,13,687.0,144,396,295,3,33.0,0,24.0,1,1,12.0,1.0,0
25,1344,4,5103,43.6,12,18333.0,41,791.0,2,242,175,1,23.0,2,4.0,0,2,4.0,3.0,0
0,1752,15,6315,68.1,6,26855.0,75,19900.0,13,20,47,2,1078.0,0,412.0,1,1,321.0,70.0,0
1,2077,36,1141,43.9,3,8454.0,6,2950.0,4,706,460,147,297.0,1,149.0,0,1,47.0,0.0,0
2,7797,3548,1453,46.8,7,4146.0,6,1902.0,6,596,484,6,174.0,0,64.0,2,0,43.0,42.0,0
3,1719,3093,3996,46.2,28,42731.0,5,2578.0,95,350,285,6,66.0,2,14.0,2,17,14.0,0.0,0
2,2339,2259,5486,54.3,4,3647.0,17,723.0,4,542,404,4,37.0,0,14.0,2,1,7.0,0.0,0
70,1739,129,1131,44.9,2,9431.0,9,1567.0,13,582,392,6,86.0,5,15.0,2,1,12.0,1.0,1
5,3457,2575,1208,45.5,0,3411.0,15,651.0,128,711,439,5,63.0,0,22.0,0,0,12.0,0.0,0
10,2443,2715,4554,50.3,213,9843.0,49,379.0,165,228,208,85,9.0,0,2.0,0,1,1.0,0.0,0
0,1308,104,6366,66.2,16,53083.0,17,13842.0,9,569,467,2,104.0,0,43.0,52,3,35.0,4.0,0
14,1343,11,1163,44.4,5,6002.0,12,1919.0,3,697,457,8,194.0,0,33.0,2,3,32.0,0.0,0
7,3837,60,2801,57.6,21,34744.0,5,11033.0,0,207,214,10,398.0,0,50.0,7,12,32.0,1.0,0
9,1506,2782,1083,39.0,3,12926.0,9,1027.0,161,403,281,3,39.0,0,15.0,6,71,15.0,1.0,0
1,2181,50,1327,45.3,1,9406.0,9,3708.0,4,655,457,20,41.0,0,9.0,2,0,4.0,3.0,1
15,1360,29,1250,45.3,5,41625.0,15,13370.0,0,738,482,25,138.0,3,23.0,3,2,10.0,7.0,0
4,2396,2732,1376,44.4,4,10953.0,7,1227.0,116,645,439,12,9.0,0,1.0,2,2,1.0,0.0,0
2,3092,113,1094,44.6,2,8886.0,7,3212.0,13,638,444,5,304.0,0,61.0,0,3,35.0,0.0,0
2,2470,105,6641,59.5,26,10543.0,35,2343.0,119,418,323,12,91.0,0,26.0,1,4,16.0,13.0,0
372,4497,29,4639,66.4,41,41746.0,24,4035.0,157,1148,1081,873,22.0,2,12.0,40,5,7.0,1.0,1
4,3974,3217,4118,56.5,19,37755.0,26,16314.0,46,224,187,15,636.0,0,188.0,2,1,118.0,110.0,0
0,3974,3468,1472,46.4,1,22899.0,5,731.0,134,661,481,15,20.0,0,4.0,2,2,1.0,1.0,0
0,2063,67,8291,62.1,4,20931.0,9,4298.0,2,714,547,0,66.0,0,9.0,4,0,5.0,4.0,0
194,1703,266,4113,57.8,16,52156.0,93,14177.0,121,575,436,5,102.0,4,34.0,36,3,26.0,4.0,1
2,2429,3237,4905,71.4,4,2507.0,9,340.0,14,286,235,2,31.0,0,7.0,0,0,6.0,0.0,0
2,9251,2926,4676,54.9,3,28931.0,15,8934.0,354,467,340,1,642.0,0,481.0,2,0,283.0,60.0,0
2,2422,1,3933,51.1,15,5063.0,21,492.0,160,599,442,3,14.0,0,4.0,4,0,4.0,3.0,0
2,1342,1448,1486,45.3,127,19013.0,17,1090.0,41,616,470,312,112.0,1,68.0,3,2,64.0,0.0,1
1,4512,124,10970,67.8,5,1768.0,20,516.0,13,266,234,2,18.0,0,3.0,8,0,2.0,0.0,0
5,1191,2854,1202,45.0,6,3618.0,6,769.0,5,688,484,13,54.0,2,14.0,2,3,7.0,1.0,0
0,1395,114,1248,44.3,3,5401.0,18,807.0,14,702,468,6,40.0,0,9.0,0,1,4.0,0.0,0
1,5149,72,2825,61.4,31,6161.0,22,1640.0,9,353,261,33,130.0,0,32.0,1,3,20.0,0.0,0
4,1000,12,4715,53.7,9,30572.0,32,29981.0,2,477,298,10,328.0,0,38.0,0,3,18.0,8.0,0
1,7624,28,4727,64.2,10,36763.0,42,7708.0,11,401,337,8,106.0,0,16.0,3,3,13.0,0.0,0
1,1383,209,1343,42.7,0,4357.0,6,1122.0,0,680,682,11,66.0,0,27.0,0,2,23.0,3.0,0
7,2909,2858,1127,44.9,3,11781.0,36,11176.0,134,626,433,129,1167.0,0,251.0,1,2,77.0,2.0,0
2,6012,3535,3608,50.9,7,13287.0,9,2971.0,115,588,414,5,185.0,1,40.0,3,2,17.0,0.0,0
1,2419,290,1043,43.7,54,10117.0,7,1936.0,17,567,410,236,63.0,0,11.0,0,2,5.0,0.0,0
648,1000,241,5391,58.2,4,9972.0,5,1605.0,8,401,300,1,56.0,5,8.0,1,0,3.0,0.0,1
6,1589,2761,2116,45.9,39,7903.0,16,981.0,204,646,463,142,33.0,0,14.0,3,1,10.0,0.0,0
1,1987,34,2555,44.6,74,4734.0,11,3084.0,17,60,366,5,325.0,0,88.0,5,9,36.0,0.0,0
1,1000,3238,5255,54.5,16,4557.0,15,639.0,106,511,384,5,36.0,2,17.0,3,4,13.0,2.0,0
0,4514,20,6621,68.8,8,18312.0,12,2848.0,3,291,230,5,92.0,0,12.0,0,3,7.0,4.0,0
2,1190,16,1779,43.4,10,51648.0,23,27041.0,0,721,509,6,2133.0,1,215.0,3,2,111.0,0.0,0
3,4919,2959,4973,62.5,4,1138.0,5,253.0,4,204,190,35,12.0,0,5.0,2,9,2.0,1.0,0
5,1201,3086,2037,49.2,2,619.0,5,161.0,7,585,467,11,16.0,4,9.0,1,1,5.0,5.0,0
3,3811,47,7975,67.5,8,37437.0,17,2897.0,4,284,235,7,11.0,0,2.0,2,3,1.0,0.0,0
8,1461,3508,5417,59.7,70,46069.0,21,3626.0,420,367,312,83,35.0,1,5.0,2,6,4.0,0.0,0
0,3448,3450,1209,53.6,1,4360.0,5,742.0,118,582,407,34,54.0,2,20.0,0,0,13.0,12.0,0
0,4210,8,4324,55.6,7,42279.0,6,11469.0,1,803,688,211,254.0,0,99.0,16,17,41.0,0.0,0
0,1816,158,2403,39.7,4,15849.0,23,9738.0,18,597,405,5,422.0,0,80.0,1,7,30.0,0.0,0
1,1377,2659,1331,43.3,124,15024.0,15,797.0,1,590,431,266,16.0,0,2.0,4,2,1.0,0.0,0
2,2040,2934,1627,45.6,3,25875.0,10,1439.0,9,772,503,7,10.0,0,2.0,2,3,2.0,1.0,0
0,3914,92,4358,52.7,4,11949.0,13,5586.0,10,525,364,81,348.0,0,58.0,1,0,36.0,31.0,0
5,1227,2615,1541,48.5,3,28419.0,9,8977.0,5,612,435,135,338.0,6,74.0,2,2,40.0,1.0,0
4,5231,3298,2187,49.3,3,1842.0,5,860.0,2,546,383,14,47.0,0,8.0,1,4,3.0,2.0,0
3,2067,2929,1126,44.8,3,9864.0,13,921.0,339,698,450,7,6.0,0,1.0,5,2,1.0,0.0,0
4,1044,2366,1319,44.3,9,39522.0,9,18780.0,4,688,436,7,490.0,2,103.0,2,4,51.0,35.0,0
0,1762,143,1429,44.8,2,13554.0,7,2682.0,19,684,572,16,56.0,0,11.0,3,2,6.0,5.0,0
3,1208,3576,5321,65.9,2,18930.0,6,1472.0,5,139,171,53,50.0,0,10.0,2,3,7.0,4.0,0
0,7236,33,5208,53.9,25,11517.0,13,8096.0,5,456,328,7,999.0,0,267.0,1,4,223.0,4.0,0
4,5333,3313,1272,44.4,5,43099.0,18,21485.0,147,705,473,14,290.0,0,52.0,0,2,32.0,31.0,0
1,2038,17,5277,61.5,7,37974.0,23,24747.0,180,401,305,2,248.0,0,28.0,0,2,21.0,0.0,0
0,3055,41,2651,46.6,2,4292.0,9,1638.0,8,258,232,3,67.0,0,18.0,29,1,8.0,7.0,0
4,2248,3788,1104,43.2,0,12063.0,14,5107.0,15,751,516,105,280.0,0,119.0,1,0,51.0,0.0,0
1,4945,53,2494,44.4,5,10057.0,5,86.0,2,832,540,6,2.0,0,0.0,0,3,0.0,0.0,0
3,1342,2842,1458,45.2,1,2225.0,9,424.0,3,712,486,133,48.0,0,21.0,3,0,11.0,11.0,0
1,6299,598,6179,49.0,5,5892.0,7,425.0,3,563,426,149,18.0,0,2.0,2,3,2.0,0.0,1
0,3459,8,3987,58.7,10,18200.0,7,8347.0,0,338,277,6,746.0,0,104.0,2,14,73.0,4.0,0
15,2071,3423,7703,69.7,4,12257.0,14,654.0,119,265,233,25,33.0,0,7.0,0,0,6.0,0.0,1
6,7342,3533,1029,45.5,0,1870.0,12,658.0,1,643,458,12,63.0,0,18.0,2,0,15.0,1.0,0
9,2841,3724,1424,66.1,2,1637.0,12,92.0,449,368,293,1,4.0,2,2.0,3,1,1.0,0.0,0
5,2227,3450,2297,46.9,2,18456.0,8,1574.0,134,619,457,84,39.0,0,8.0,2,0,5.0,0.0,0
4,2824,2369,1545,45.5,9,19831.0,10,15270.0,14,617,429,16,1347.0,0,119.0,2,4,35.0,0.0,0
4,3104,2061,1250,44.0,5,4765.0,2,889.0,2,677,420,5,25.0,0,6.0,2,1,2.0,0.0,0
2,16413,3478,1652,46.1,2,49250.0,10,1541.0,161,621,515,35,20.0,0,5.0,2,0,2.0,1.0,0
2,1725,2828,1613,48.4,3,22507.0,5,249.0,4,511,367,11,12.0,0,2.0,2,0,2.0,0.0,0
378,2457,206,3343,52.4,10,21237.0,28,9596.0,25,596,407,8,409.0,7,269.0,0,0,213.0,7.0,1
1,1361,2680,1542,47.8,2,14463.0,10,5565.0,92,650,452,129,261.0,1,48.0,1,2,14.0,1.0,0
0,8436,152,7917,69.5,22,537486.0,25,68450.0,2,366,300,1,175.0,0,0.0,1,4,0.0,0.0,0
4,1639,50,3621,47.5,8,28162.0,20,4360.0,105,504,375,16,28.0,0,5.0,6,4,3.0,0.0,0
6,2547,3493,1236,41.6,2,3215.0,5,1501.0,8,446,325,164,107.0,0,15.0,0,0,6.0,1.0,0
0,2508,4,1790,46.3,3,3528.0,8,283.0,172,640,425,8,4.0,0,1.0,1,1,0.0,0.0,0
0,2845,27,8075,56.9,14,10043.0,13,1070.0,0,513,429,3,15.0,0,2.0,43,3,1.0,0.0,0
6,1175,2722,1132,45.3,1,9611.0,9,1161.0,96,668,434,152,55.0,6,12.0,0,3,9.0,1.0,0
8,2262,2456,5693,56.2,14,18930.0,11,4343.0,219,627,440,92,134.0,0,14.0,29,0,6.0,2.0,0
2,5703,53,1687,43.1,32,22241.0,29,928.0,202,617,380,8,17.0,0,4.0,2,2,2.0,0.0,0
2,3065,38,6504,60.9,1,8397.0,12,553.0,6,394,323,4,46.0,0,20.0,13,0,11.0,0.0,0
37,1372,59,4370,58.2,7,18128.0,21,1101.0,8,278,216,8,11.0,2,5.0,2,3,4.0,0.0,1
0,1766,143,6259,70.2,7,3796.0,13,282.0,17,272,216,3,22.0,8,12.0,4,1,10.0,0.0,0
8,6520,1997,5572,65.9,12,3466.0,5,180.0,64,125,148,33,5.0,0,1.0,3,25,1.0,1.0,0
2,2766,116,1579,47.9,4,7110.0,6,1537.0,7,570,383,98,25.0,0,4.0,2,0,3.0,0.0,0
4,1841,2607,2324,47.8,7,2217.0,0,58.0,38,568,383,4,3.0,0,2.0,3,0,1.0,1.0,0
0,1349,134,943,44.1,4,5768.0,2,2364.0,0,664,447,7,126.0,0,12.0,2,2,6.0,1.0,0
0,2087,301,8128,63.8,32,36010.0,40,20688.0,6,515,446,60,538.0,0,11.0,5,4,6.0,0.0,0
4,2026,177,4594,58.2,9,2261.0,24,433.0,8,284,227,9,35.0,0,12.0,2,3,4.0,0.0,0
3,1548,3029,1294,43.9,2,4410.0,6,923.0,334,678,462,195,47.0,0,17.0,1,2,6.0,0.0,0
3,2322,3115,5118,60.2,222,26449.0,14592,16857.0,13,440,339,151,6066.0,0,1040.0,2,18,26.0,0.0,0
2,2836,117,6249,62.3,24,24688.0,23,1210.0,15,369,263,4,46.0,0,7.0,0,4,7.0,0.0,0
0,3569,7,1882,46.2,4,41219.0,45,33109.0,1,572,383,7,1309.0,0,174.0,0,2,112.0,2.0,0
2,1355,14,5772,59.2,10,20756.0,10,11232.0,181,419,320,3,737.0,0,378.0,0,0,226.0,2.0,0
35,1377,8,2291,48.5,5,30322.0,5,2292.0,4,679,441,8,30.0,2,4.0,4,1,2.0,0.0,0
1,2073,2,1263,43.9,4,8933.0,6,4215.0,180,716,475,9,202.0,0,56.0,1,2,34.0,0.0,0
2,5371,3410,1196,50.0,5,16062.0,10,1319.0,495,598,412,21,38.0,0,9.0,1,3,7.0,0.0,0
8,2108,215,5300,56.2,7,2983.0,13,1659.0,15,462,326,5,48.0,0,11.0,0,2,1.0,0.0,0
2,4677,2103,5021,54.0,4,1429.0,21,432.0,3,490,352,2,19.0,0,2.0,2,0,1.0,1.0,0
1,2152,2990,5321,64.6,3,3255.0,18,560.0,8,279,228,0,13.0,0,3.0,0,0,2.0,0.0,0
2,1783,18,1391,45.9,5,20488.0,26,2974.0,0,691,469,22,114.0,0,34.0,4,0,24.0,12.0,0
0,1761,23,6227,62.2,13,39161.0,58,15270.0,3,357,278,9,1654.0,0,896.0,0,5,698.0,15.0,0
0,7624,41,5397,63.6,25,40586.0,11,20533.0,3,430,326,18,51.0,0,5.0,0,2,5.0,2.0,0
1,4904,645,6752,57.3,4,27815.0,6,755.0,18,339,265,1,34.0,0,18.0,10,4,15.0,2.0,0
