COMPONENT_ARBITRARY,SAMPLE_TRANSFER_DAY,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FH2O,FNOX,FOXID,FSO4,FTBN,FE,FUEL,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,SOOTPERCENTAGE,TI,U100,U75,U50,U25,U20,U14,U6,U4,V,V100,V40,ZN,Y_LABEL
COMPONENT3,2,0,1,21,0,0,189,0.0,0,1,0,,,,,,205,,0.0,2.0,0,3,1,0,1,2,233,0,278,9730,0,13,0,,0,,,,,,,,,0,,193.7,46,0
COMPONENT3,2,0,3,1,0,0,111,,0,5,201,,,,,,299,,0.0,1.0,1,1,5,0,1,6,902,0,543,27196,1,4,1,,0,,,,,,,,,0,,147.6,159,0
COMPONENT1,15,0,2,12,0,0,188,,0,4,6,16.0,10.0,18.0,24.0,10.8,35,0.0,0.0,9.0,0,29,1,50,6,0,1224,2,24,7478,1,21,1,0.2,0,,,,,,,,,0,15.3,115.9,1449,0
COMPONENT3,3,0,0,31,0,0,921,0.0,0,0,0,,,,,,28,,0.0,0.0,0,4,0,0,7,0,2148,0,35,19530,0,18,0,,0,,,,,,,,,0,,163.5,391,0
COMPONENT2,12,0,2,4,0,0,2828,0.0,0,0,11,,,,,,3,,0.0,2.0,14,2,0,0,0,0,367,0,5,1613,0,0,0,,0,0.0,0.0,0.0,2.0,2.0,12.0,249.0,22507.0,0,,48.4,511,0
COMPONENT3,2,0,5,124,0,0,2819,0.0,0,1,13,,,,,,104,,0.0,,1,2,1,1,1,1,1225,0,76,30243,0,24,0,,1,,,,,,,,,0,,159.4,10,0
COMPONENT1,6,0,4,5,2,0,63,,0,0,1,12.0,6.0,12.0,21.0,8.8,17,0.0,0.0,0.0,0,9,0,0,4,0,886,0,22,10233,0,6,0,0.4,0,,,,,,,,,0,,96.1,1042,0
COMPONENT3,2,0,0,15,0,0,161,0.0,0,0,2,,,,,,76,,0.0,2.0,0,4,0,0,0,0,607,0,113,26500,0,3,0,,0,,,,,,,,,0,,139.5,24,0
COMPONENT3,7,0,4,429,0,0,3088,,0,1,1,,,,,,283,,0.0,5.0,0,5,2,0,1,0,369,0,940,20183,1,14,1,,0,,,,,,,,,0,,135.6,72,0
COMPONENT1,5,0,1,0,0,0,11,0.0,0,2,14,13.0,5.0,8.0,15.0,7.1,25,0.0,0.0,6.0,0,925,2,45,3,0,1049,6,7,3411,0,8,10,0.3,0,,,,,,,,,0,13.5,85.8,1207,0
COMPONENT3,11,0,3,0,0,0,27,0.0,0,2,10,,,,,,337,,0.0,0.0,0,3,3,8,2,0,2038,0,208,31670,0,2,0,,0,,,,,,,,,0,,148.6,13,0
COMPONENT1,6,0,2,2,0,0,3358,0.0,0,0,1,8.0,5.0,9.0,16.0,8.8,14,1.0,0.0,0.0,0,9,0,0,0,0,908,0,5,4506,0,4,0,0.4,0,,,,,,,,,0,12.7,92.4,1026,0
COMPONENT1,22,0,2,141,0,0,2947,0.0,0,0,2,14.0,5.0,11.0,19.0,8.6,10,0.0,0.0,2.0,0,9,0,45,1,0,934,0,20,11280,1,9,0,0.0,0,,,,,,,,,0,13.4,99.3,1074,0
COMPONENT3,5,0,0,0,0,0,26,0.0,0,2,2,,,,,,16,,0.0,,0,12,0,2,5,0,1229,0,22,6119,2,45,0,,0,,,,,,,,,0,,116.2,1391,0
COMPONENT2,4,0,378,25,7,0,206,0.0,0,0,8,,,,,,10,,0.0,0.0,8,0,0,0,0,0,407,2,28,3343,0,0,0,,0,0.0,0.0,7.0,213.0,269.0,409.0,9596.0,21237.0,0,,52.4,596,1
COMPONENT3,9,0,1,1,4,0,15,0.0,0,1,0,,,,,,402,,0.0,0.0,0,0,3,0,2,0,2146,0,812,26120,0,2,1,,2,,,,,,,,,0,,130.4,23,0
COMPONENT4,6,0,1,85,2,0,13,0.0,0,0,8,,,,,,19,,0.0,4.0,0,22,2,14,25,0,912,5,10,7082,0,8,0,,0,,,,,,,,,0,,41.1,1065,0
COMPONENT3,3,0,4,1,1,0,271,0.0,0,2,2,,,,,,787,,0.0,8.0,0,2,9,0,2,0,1883,0,310,28310,0,6,0,,0,,,,,,,,,0,,124.4,43,1
COMPONENT3,3,0,70,30,2,0,39,0.0,0,1,0,,,,,,87,,0.0,4.0,0,0,1,0,1,0,913,0,121,20940,0,9,0,,0,,,,,,,,,0,,142.3,29,1
COMPONENT1,26,0,2,3,0,0,3802,0.0,0,1,12,12.0,7.0,10.0,20.0,7.8,40,0.0,0.0,3.0,0,11,0,0,4,0,842,1,9,3904,0,11,2,1.3,0,,,,,,,,,0,12.8,91.2,974,0
COMPONENT3,69,0,2,2,1,0,2393,0.0,0,0,0,,,,,,61,,0.0,1.0,0,2,0,0,2,0,935,1,146,21190,0,13,0,,0,,,,,,,,,0,,133.6,12,0
COMPONENT3,33,1,3,1,2,0,42,1.0,0,3,6,,,,,,223,,0.0,,0,12,5,11,4,1,1184,2,292,10412,1,32,0,,0,,,,,,,,,0,,70.9,1420,0
COMPONENT3,11,0,2,28,0,0,15,0.0,0,9,2,,,,,,651,,0.0,10.0,0,18,7,5,6,3,1019,0,1295,18750,0,270,0,,4,,,,,,,,,0,,127.3,48,0
COMPONENT3,24,0,2,115,0,0,3442,0.0,0,1,3,,,,,,76,,0.0,1.0,0,9,2,2,3,0,1064,0,64,5888,0,35,0,,0,,,,,,,,,0,,50.2,1360,0
COMPONENT4,3,0,2,5,0,0,3039,0.0,0,0,3,,,,,,41,,0.0,0.0,0,248,0,9,13,0,1084,0,30,4262,0,3,0,,0,,,,,,,,,0,,68.9,1153,0
COMPONENT3,8,0,488,152,4,0,66,0.0,0,5,126,,,,,,307,,0.0,8.0,1,4,5,0,7,4,334,0,169,13040,0,6,0,,0,,,,,,,,,0,,133.9,84,1
COMPONENT3,29,0,2,2,0,0,3834,0.0,0,3,10,,,,,,394,,0.0,,0,16,5,7,0,1,1156,0,1534,9457,1,17,0,,0,,,,,,,,,0,,54.7,1333,0
COMPONENT1,11,0,2,9,0,0,195,0.0,0,1,15,12.0,6.0,11.0,18.0,8.1,25,0.0,0.0,5.0,0,10,1,1,5,0,867,6,5,3665,0,10,12,0.2,0,,,,,,,,,0,12.1,86.0,1018,0
COMPONENT1,7,0,1,383,0,0,2574,0.0,0,2,27,12.0,5.0,11.0,17.0,8.1,22,0.0,0.0,4.0,8,78,2,27,7,0,954,3,5,3757,0,7,1,0.1,0,,,,,,,,,0,13.3,99.8,1104,0
COMPONENT3,4,0,4,43,0,0,2982,0.0,0,14,777,,,,,,928,,0.0,,0,0,13,1,7,30,235,1,1113,9974,0,17,0,,0,,,,,,,,,0,,118.3,473,0
COMPONENT1,11,2,3,3,2,0,3310,0.0,0,0,0,9.0,7.0,14.0,24.0,9.1,9,0.0,0.0,,0,8,0,2,3,0,1327,2,16,7698,4,3,0,0.8,0,,,,,,,,,0,13.9,101.5,1320,0
COMPONENT1,13,0,2,13,0,0,102,0.0,0,4,2,9.0,6.0,7.0,18.0,5.9,19,2.0,0.0,3.0,0,7,0,1,1,0,852,3,9,4948,0,4,0,0.3,0,,,,,,,,,0,9.4,62.5,962,0
COMPONENT2,11,0,1,92,1,0,2680,0.0,0,0,129,,,,,,2,,0.0,0.0,0,1,0,0,0,0,452,0,10,1542,1,2,0,,0,0.0,0.0,1.0,14.0,48.0,261.0,5565.0,14463.0,0,,47.8,650,0
COMPONENT1,2,0,7,54,10,0,25,0.0,0,0,1,13.0,6.0,11.0,20.0,9.3,10,0.0,0.0,1.0,0,8,0,38,3,0,929,1,10,6578,1,8,1,0.3,0,,,,,,,,,0,12.6,94.0,1092,0
COMPONENT1,7,0,4,138,0,0,3229,0.0,0,4,24,16.0,10.0,18.0,23.0,8.9,36,0.0,0.0,4.0,0,12,0,244,4,0,1351,4,3,5684,0,9,5,0.5,0,,,,,,,,,0,13.8,109.1,1502,0
COMPONENT3,19,0,42,140,0,0,15,0.0,0,0,2,,,,,,62,,0.0,2.0,0,2,0,1,7,0,737,0,171,17550,0,6,0,,0,,,,,,,,,0,,113.5,141,1
COMPONENT2,9,0,0,2,0,0,152,0.0,0,3,1,,,,,,22,,0.0,1.0,0,1,0,2,0,0,300,0,25,7917,0,4,0,,0,0.0,0.0,0.0,0.0,0.0,175.0,68450.0,537486.0,0,,69.5,366,0
COMPONENT2,3,0,4,3,0,0,85,0.0,0,0,38,,,,,,2,,0.0,,0,3,0,0,0,0,257,0,6,3228,0,2,0,,0,1.0,1.0,3.0,10.0,12.0,93.0,1583.0,12007.0,0,,55.8,247,0
COMPONENT1,2,0,2,146,2,0,58,0.0,0,5,13,20.0,9.0,13.0,29.0,8.8,61,0.0,0.0,59.0,0,12,0,49,10,0,1062,6,42,8477,0,25,2,2.0,0,,,,,,,,,0,15.9,133.0,1212,0
COMPONENT3,2,0,6,124,0,0,3025,0.0,0,4,8,,,,,,435,,0.0,2.0,1,8,5,7,9,0,1093,2,412,8900,0,25,0,,0,,,,,,,,,0,,70.0,1396,0
COMPONENT1,6,0,0,5,0,0,90,0.0,0,4,8,12.0,9.0,14.0,23.0,9.5,56,0.0,0.0,,0,274,1,8,0,1,869,8,17,6438,0,8,2,2.0,0,,,,,,,,,1,,111.6,1055,0
COMPONENT3,10,0,9,1,3,0,2436,0.0,0,0,34,,,,,,53,,0.0,0.0,0,6,0,2,0,0,976,0,130,4297,0,4,2,,0,,,,,,,,,0,,61.2,990,0
COMPONENT1,48,0,2,17,0,0,149,0.0,0,0,4,16.0,8.0,16.0,21.0,9.2,23,0.0,0.0,4.0,0,14,0,226,2,0,1082,2,38,4298,0,5,2,0.4,0,,,,,,,,,0,14.1,112.1,1409,0
COMPONENT2,8,0,4,105,0,0,50,0.0,0,0,16,,,,,,8,,0.0,0.0,0,6,0,0,1,0,375,0,20,3621,1,4,0,,0,0.0,0.0,0.0,3.0,5.0,28.0,4360.0,28162.0,0,,47.5,504,0
COMPONENT3,6,0,0,0,0,0,24,0.0,0,6,161,,,,,,1042,,0.0,3.0,0,9,33,10,24,3,989,0,932,10240,0,27,8,,0,,,,,,,,,0,,69.5,944,0
COMPONENT2,6,0,6,8,0,0,3493,0.0,0,0,164,,,,,,2,,0.0,0.0,0,0,0,0,0,0,325,0,5,1236,0,0,0,,0,0.0,0.0,1.0,6.0,15.0,107.0,1501.0,3215.0,0,,41.6,446,0
COMPONENT1,6,0,51,113,0,0,15,0.0,0,5,7,17.0,10.0,14.0,24.0,8.3,40,0.0,0.0,4.0,0,11,0,17,4,0,923,5,16,10500,2,4,5,1.6,0,,,,,,,,,1,13.2,90.9,1080,1
COMPONENT3,2,0,6,0,0,0,10,0.0,0,7,98,,,,,,293,,0.0,0.0,0,1,5,0,1,3,322,2,116,15430,0,6,0,,0,,,,,,,,,0,,142.6,68,0
COMPONENT3,6,0,2,6,0,0,3575,0.0,0,3,8,,,,,,314,,0.0,0.0,0,2,4,50,4,3,2438,0,72,31710,0,10,0,,0,,,,,,,,,0,,141.0,55,0
COMPONENT3,7,0,4,0,0,0,440,0.0,0,2,0,,,,,,75,,0.0,0.0,1,0,0,0,0,0,1382,0,292,22150,0,5,0,,0,,,,,,,,,0,,132.1,14,0
COMPONENT4,11,0,94,22,2,0,53,0.0,0,0,28,,,,,,26,,0.0,2.0,0,12,1,142,13,0,1007,0,22,4671,0,4,0,,0,,,,,,,,,0,,77.8,1166,1
COMPONENT2,4,0,0,172,0,0,4,0.0,0,0,8,,,,,,3,,0.0,0.0,0,1,0,0,0,0,425,0,8,1790,0,1,0,,0,0.0,0.0,0.0,0.0,1.0,4.0,283.0,3528.0,0,,46.3,640,0
COMPONENT1,2,0,0,0,0,0,61,0.0,0,1,3,11.0,8.0,11.0,20.0,5.5,22,0.0,0.0,0.0,0,15,0,4,0,0,681,4,10,7216,0,5,1,0.4,0,,,,,,,,,0,12.6,94.6,779,0
COMPONENT3,2,0,1,45,0,0,122,0.0,0,1,1,,,,,,63,,0.0,2.0,0,10,1,0,7,0,983,0,206,4854,0,36,0,,0,,,,,,,,,0,,93.6,1227,0
COMPONENT2,2,0,1,20,1,0,148,,0,1,148,,,,,,29,,0.0,1.0,0,0,0,0,2,0,402,1,18,2777,0,1,0,,0,0.0,0.0,0.0,1.0,3.0,29.0,312.0,9379.0,0,,44.2,553,0
COMPONENT1,127,0,7,147,0,0,3070,0.0,0,3,3,15.0,7.0,12.0,18.0,10.1,16,0.0,0.0,5.0,0,388,1,140,2,0,913,2,9,4541,0,8,2,0.2,0,,,,,,,,,0,14.5,117.0,1061,0
COMPONENT2,5,0,0,0,0,0,27,0.0,0,3,3,,,,,,14,,0.0,0.0,0,43,0,5,0,0,429,0,13,8075,0,3,0,,0,0.0,0.0,0.0,1.0,2.0,15.0,1070.0,10043.0,0,,56.9,513,0
COMPONENT3,6,0,4,38,0,0,3571,0.0,0,2,1,,,,,,94,,0.0,,1,1,2,0,0,0,437,0,266,22402,0,3,0,,0,,,,,,,,,0,,142.7,7,0
COMPONENT3,5,0,7,32,6,0,2738,0.0,0,5,4,,,,,,154,,0.0,0.0,1,4,2,2,2,1,2172,0,674,24200,2,8,0,,0,,,,,,,,,0,,143.2,32,0
COMPONENT3,3,0,139,200,0,0,12,0.0,0,5,10,,,,,,104,,0.0,,1,9,4,1,2,2,287,0,599,7047,3,26,1,,0,,,,,,,,,0,,191.3,22,1
COMPONENT3,5,0,0,0,0,0,126,0.0,0,0,29,,,,,,31,,0.0,2.0,0,6,1,0,2,2,1341,0,17,19320,0,7,0,,0,,,,,,,,,0,,179.8,276,0
COMPONENT3,14,0,1,18,0,0,147,0.0,0,9,25,,,,,,378,,0.0,6.0,1,6,9,1,12,1,2143,0,4471,25422,0,71,1,,2,,,,,,,,,0,,149.9,46,0
COMPONENT1,4,0,4,143,0,0,3379,,0,1,4,16.0,9.0,17.0,21.0,10.6,35,0.0,0.0,12.0,0,14,1,241,0,0,1101,3,19,4027,3,12,3,0.7,1,,,,,,,,,1,14.4,118.2,1438,0
COMPONENT3,9,0,3,455,0,0,3279,0.0,0,4,41,,,,,,191,,0.0,0.0,0,34,3,0,0,1,373,0,238,20270,0,3,0,,0,,,,,,,,,0,,151.1,65,0
COMPONENT3,8,0,2,7,0,0,210,0.0,0,0,0,,,,,,65,,0.0,,0,0,1,0,0,1,290,0,102,18320,4,9,0,,0,,,,,,,,,0,,154.5,15,0
COMPONENT1,3,0,3,12,0,0,132,,0,2,4,12.0,7.0,10.0,19.0,10.0,16,0.0,0.0,1.0,0,16,0,138,1,1,1081,2,7,7299,2,12,3,1.2,0,,,,,,,,,0,14.5,109.2,1496,1
COMPONENT3,7,0,6,9,1,1,2934,0.0,1,5,242,,,,,,404,,0.0,1.0,1,3,7,0,1,8,301,0,789,9745,0,7,0,,0,,,,,,,,,0,,134.3,150,0
COMPONENT3,8,0,758,11,11,0,578,0.0,0,5,8,,,,,,391,,0.0,,0,3,2,0,6,0,1001,1,1061,29007,2,119,1,,2,,,,,,,,,0,,158.7,40,1
COMPONENT1,11,0,2,5,0,0,2,0.0,0,0,0,10.0,6.0,9.0,17.0,8.2,14,0.0,0.0,0.0,0,10,0,0,5,0,851,2,16,3998,0,5,1,0.3,0,,,,,,,,,0,13.4,97.0,980,0
COMPONENT4,2,0,5,1,3,0,2658,0.0,0,0,333,,,,,,25,,0.0,10.0,0,9,0,7,24,0,1082,1,19,4456,0,4,0,,0,,,,,,,,,0,,68.1,1183,0
COMPONENT3,7,0,1,14,0,0,120,0.0,0,2,3,,,,,,946,,0.1,0.0,0,3,7,3,4,0,2686,0,200,40500,0,5,0,,0,,,,,,,,,0,,141.4,18,0
COMPONENT3,3,0,490,128,3,0,16,0.0,0,3,38,,,,,,443,,0.0,7.0,0,12,10,0,10,0,1895,0,4839,25150,0,86,0,,0,,,,,,,,,0,,141.8,58,1
COMPONENT1,2,0,1,11,0,0,2659,0.0,0,2,52,12.0,8.0,11.0,20.0,8.1,53,0.0,0.0,6.0,0,21,2,4,4,0,850,5,18,3575,0,13,5,1.3,0,,,,,,,,,0,12.9,83.2,1014,0
COMPONENT3,5,0,1,104,2,0,3244,0.0,0,1,1,,,,,,103,,0.0,0.0,0,0,1,2,1,0,2200,0,42,28770,0,0,0,,0,,,,,,,,,0,,129.2,16,0
COMPONENT2,1,0,2,4,0,0,3626,0.0,0,0,34,,,,,,1,,0.0,,0,3,0,0,0,0,309,0,14,3518,2,1,0,,0,0.0,0.0,2.0,12.0,18.0,61.0,1557.0,7318.0,0,,58.2,304,0
COMPONENT1,25,0,0,0,0,0,128,0.0,0,3,1,17.0,6.0,6.0,17.0,3.8,16,0.0,0.0,,1,840,0,3,0,1,707,2,24,8288,2,4,2,0.6,0,,,,,,,,,0,15.0,148.4,822,0
COMPONENT3,3,0,2,6,0,0,69,0.0,0,16,4,,,,,,1024,,0.0,,0,7,5,3,8,1,1029,0,1682,30923,0,338,1,,5,,,,,,,,,1,,280.3,40,0
COMPONENT3,7,0,0,9,0,0,25,0.0,0,0,2,,,,,,24,,0.0,2.0,0,10,9,0,23,0,1204,0,27,3081,0,11,0,,0,,,,,,,,,0,,55.0,1399,0
COMPONENT3,2,0,2,3,0,0,57,0.0,0,0,5,,,,,,80,,0.0,1.0,0,0,1,1,0,0,223,0,39,19510,0,2,0,,0,,,,,,,,,0,,163.7,29,0
COMPONENT3,9,0,81,108,1,0,43,0.0,0,3,10,,,,,,468,,0.0,0.0,0,0,4,0,6,0,634,0,108,20620,0,6,0,,0,,,,,,,,,0,,132.8,30,1
COMPONENT1,14,0,3,134,0,0,3992,0.0,0,3,4,17.0,11.0,20.0,24.0,6.9,31,0.0,0.0,3.0,0,19,0,224,0,0,1028,4,24,4754,0,5,2,1.0,0,,,,,,,,,0,13.7,106.1,1285,0
COMPONENT1,4,0,11,201,0,0,3796,,0,3,15,12.0,7.0,13.0,23.0,9.0,68,2.0,0.0,6.0,0,15,2,3,10,1,840,8,18,4449,2,20,19,0.6,0,,,,,,,,,0,12.2,82.7,1054,0
COMPONENT2,3,0,6,96,6,0,2722,0.0,0,0,152,,,,,,1,,0.0,0.0,0,0,0,0,0,0,434,0,9,1132,0,3,0,,0,0.0,0.0,1.0,9.0,12.0,55.0,1161.0,9611.0,0,,45.3,668,0
COMPONENT3,16,0,2,8,0,0,3440,0.0,0,3,13,,,,,,169,,0.0,1.0,0,1,3,2,1,1,1048,0,125,22890,0,4,0,,0,,,,,,,,,0,,218.4,29,0
COMPONENT3,2,0,2,13,0,0,227,0.0,0,0,3,,,,,,14,,0.0,0.0,0,0,0,20,2,0,914,0,12,20030,0,2,0,,0,,,,,,,,,0,,132.6,123,0
COMPONENT1,9,0,0,2,0,0,43,,0,2,10,11.0,5.0,11.0,17.0,9.5,17,0.0,0.0,7.0,0,21,1,7,4,0,965,9,15,4661,2,14,12,0.1,0,,,,,,,,,0,13.0,93.8,1100,0
COMPONENT1,5,0,3,7,0,0,1317,0.0,0,1,0,11.0,5.0,14.0,19.0,7.8,5,1.0,0.0,0.0,1,898,0,59,10,0,1027,0,5,2617,3,3,0,0.0,0,,,,,,,,,0,13.4,103.4,1089,0
COMPONENT3,14,0,0,7,0,0,16,0.0,0,2,1,,,,,,173,,0.2,2.0,0,4,2,1,4,1,1053,0,181,19840,0,9,0,,0,,,,,,,,,0,,128.5,29,0
COMPONENT3,16,0,0,2,1,0,72,0.0,0,1,6,,,,,,76,,0.0,,0,2,1,2,1,1,2311,0,48,28513,0,10,0,,0,,,,,,,,,0,,143.7,88,0
COMPONENT1,6,0,2,98,3,0,2803,0.0,0,1,4,12.0,7.0,10.0,20.0,7.6,23,0.0,0.0,0.0,1,10,0,1,3,0,892,0,16,4189,0,11,0,0.9,0,,,,,,,,,0,12.3,88.6,1118,0
COMPONENT1,2,0,2,34,0,0,89,,0,5,2,14.0,9.0,17.0,22.0,10.3,38,0.0,0.0,6.0,0,13,1,253,2,1,1115,3,46,4925,2,25,1,0.6,0,,,,,,,,,0,14.3,113.4,1314,0
COMPONENT3,21,0,5,130,0,0,3239,0.0,0,5,18,,,,,,245,,0.0,,0,30,3,5,6,3,2287,0,1182,30196,1,129,0,,2,,,,,,,,,0,,143.2,81,0
COMPONENT2,10,0,8,219,0,0,2456,0.0,0,3,92,,,,,,14,,0.0,0.0,0,29,0,0,1,0,440,0,11,5693,0,0,0,,0,0.0,0.0,2.0,6.0,14.0,134.0,4343.0,18930.0,0,,56.2,627,0
COMPONENT2,3,0,1,0,0,0,20,0.0,0,0,19,,,,,,0,,0.0,,0,0,0,0,2,0,302,0,14,2652,0,0,0,,0,0.0,0.0,1.0,11.0,12.0,38.0,1619.0,7341.0,0,,57.9,290,0
COMPONENT3,5,0,4,151,0,0,3184,0.0,0,3,5,,,,,,265,,0.0,,0,2,3,1,0,0,764,0,1032,21329,0,11,0,,0,,,,,,,,,0,,151.1,15,0
COMPONENT1,1,0,2,4,0,0,940,0.0,0,0,0,8.0,5.0,10.0,20.0,8.6,8,0.0,0.0,,0,10,0,2,4,0,852,1,6,3541,2,4,0,0.4,0,,,,,,,,,0,12.9,95.1,887,0
COMPONENT2,73,0,2,202,0,0,53,0.0,0,0,8,,,,,,32,,0.0,2.0,0,2,0,0,0,0,380,0,29,1687,0,2,0,,0,0.0,0.0,0.0,2.0,4.0,17.0,928.0,22241.0,0,,43.1,617,0
COMPONENT2,2,0,2,6,0,0,38,0.0,0,0,4,,,,,,1,,0.0,0.0,0,13,0,0,0,0,323,0,12,6504,0,0,0,,0,0.0,0.0,0.0,11.0,20.0,46.0,553.0,8397.0,0,,60.9,394,0
COMPONENT2,22,0,37,8,2,0,59,0.0,0,0,8,,,,,,7,,0.0,2.0,0,2,0,0,0,0,216,0,21,4370,0,3,0,,0,0.0,0.0,0.0,4.0,5.0,11.0,1101.0,18128.0,0,,58.2,278,1
COMPONENT1,8,0,4,1,0,0,2488,,0,6,68,12.0,6.0,11.0,19.0,11.3,51,0.0,0.0,8.0,0,14,2,1,6,0,985,8,20,3903,2,12,4,0.6,0,,,,,,,,,0,12.9,90.6,1207,0
COMPONENT3,6,0,3,185,0,0,128,0.0,0,0,0,,,,,,65,,0.0,1.0,0,2,0,0,1,0,716,0,150,26280,0,5,0,,0,,,,,,,,,0,,156.0,8,0
COMPONENT1,4,0,2,106,4,0,3721,0.0,0,0,13,15.0,10.0,18.0,25.0,8.4,43,0.0,0.0,4.0,0,16,0,231,3,0,1156,4,14,4706,0,17,3,1.4,0,,,,,,,,,0,13.8,106.0,1482,0
COMPONENT2,6,0,0,17,8,0,143,0.0,0,2,3,,,,,,7,,0.0,1.0,0,4,0,0,0,0,216,1,13,6259,3,1,0,,0,0.0,0.0,0.0,10.0,12.0,22.0,282.0,3796.0,0,,70.2,272,0
COMPONENT3,5,0,16,42,0,0,758,0.0,0,1,15,,,,,,118,,0.0,4.0,1,1,1,0,2,1,2665,0,66,27260,0,2,0,,0,,,,,,,,,0,,144.6,26,0
COMPONENT3,10,0,4,2,0,0,3046,0.0,0,0,32,,,,,,93,,0.0,0.0,0,2,1,0,2,1,2255,0,65,29260,0,0,0,,0,,,,,,,,,0,,145.1,18,0
COMPONENT1,6,0,1,1,0,0,66,0.0,0,1,4,13.0,6.0,11.0,17.0,10.0,13,0.0,0.0,4.0,0,377,0,150,3,0,792,4,6,3594,0,8,3,0.1,0,,,,,,,,,0,14.6,121.3,960,0
COMPONENT2,2,0,8,64,0,0,1997,0.0,0,0,33,,,,,,12,,0.0,2.0,0,3,0,0,2,0,148,0,5,5572,0,25,0,,0,0.0,0.0,1.0,1.0,1.0,5.0,180.0,3466.0,0,,65.9,125,0
COMPONENT1,9,0,4,6,1,0,27,0.0,0,1,2,16.0,7.0,11.0,22.0,8.8,26,0.0,0.0,4.0,0,23,0,43,3,0,938,1,16,10270,0,12,0,1.6,0,,,,,,,,,0,15.6,115.4,1078,0
COMPONENT2,3,0,2,7,0,0,116,0.0,0,0,98,,,,,,4,,0.0,0.0,0,2,0,0,0,0,383,1,6,1579,0,0,0,,0,0.0,0.0,0.0,3.0,4.0,25.0,1537.0,7110.0,0,,47.9,570,0
COMPONENT3,2,0,0,17,0,0,137,0.0,0,4,0,,,,,,235,,0.0,0.0,0,1,4,0,4,0,259,1,439,7217,0,5,0,,0,,,,,,,,,0,,185.1,31,0
COMPONENT2,2,0,4,38,0,0,2607,0.0,0,1,4,,,,,,7,,0.0,1.0,0,3,0,0,2,0,383,0,0,2324,0,0,0,,0,0.0,0.0,1.0,1.0,2.0,3.0,58.0,2217.0,0,,47.8,568,0
COMPONENT3,2,0,2,17,1,0,2565,0.0,0,2,4,,,,,,143,,0.0,0.0,0,4,5,7,4,2,1097,4,206,3252,2,11,0,,0,,,,,,,,,0,,47.2,1186,0
COMPONENT4,2,0,2,0,0,0,22,0.0,0,0,35,,,,,,22,,0.0,2.0,0,10,0,0,3,0,956,0,6,4277,0,4,0,,0,,,,,,,,,0,,69.5,977,0
COMPONENT3,8,0,1,185,0,0,20,0.0,0,14,4,,,,,,1206,,0.0,13.0,0,6,13,0,41,3,1193,0,1275,18160,0,282,0,,4,,,,,,,,,0,,125.5,95,0
COMPONENT1,2,0,0,15,0,0,141,0.0,0,3,2,15.0,7.0,16.0,21.0,9.0,17,0.0,0.0,4.0,0,10,0,230,3,0,1075,2,4,4880,0,7,5,0.4,0,,,,,,,,,0,14.6,120.5,1296,0
COMPONENT3,4,0,2,3,1,0,54,0.0,0,2,4,,,,,,353,,0.0,,0,3,3,7,0,1,2326,0,232,28437,1,6,0,,0,,,,,,,,,0,,138.5,113,0
COMPONENT4,8,0,0,132,0,0,177,0.0,0,0,23,,,,,,29,,0.0,5.0,0,147,30,0,56,0,1495,0,15,7075,0,4,1,,0,,,,,,,,,0,,51.8,1641,0
COMPONENT1,5,0,3,158,0,0,3166,0.0,0,2,44,12.0,7.0,12.0,19.0,7.6,69,0.0,0.0,4.0,0,64,2,0,7,0,963,6,19,4331,0,14,4,1.1,0,,,,,,,,,0,12.5,87.5,1210,0
COMPONENT2,10,0,4,116,0,0,2961,,0,0,223,,,,,,4,,0.0,0.0,0,1,0,0,0,0,451,2,18,1246,1,0,0,,0,0.0,1.0,4.0,4.0,4.0,,,,0,,43.7,648,0
COMPONENT3,5,0,1,2,1,0,26,0.0,0,13,278,,,,,,704,,0.0,,1,4,11,1,0,12,349,1,512,11596,2,10,1,,0,,,,,,,,,0,,134.4,179,0
COMPONENT3,5,0,32,70,1,0,39,0.0,0,5,1,,,,,,336,,0.0,8.0,0,5,5,0,8,1,1143,0,1840,16370,0,159,0,,2,,,,,,,,,0,,121.0,39,1
COMPONENT2,6,0,1,2,1,0,26,0.0,0,2,4,,,,,,4,,0.0,,0,3,0,0,1,0,277,1,13,2399,0,6,0,,0,0.0,0.0,4.0,6.0,9.0,29.0,327.0,3138.0,0,,45.2,362,0
COMPONENT1,5,0,4,18,0,0,152,0.0,0,0,0,19.0,7.0,12.0,19.0,9.1,8,0.0,0.0,3.0,0,24,0,3,3,0,1055,2,7,6118,0,11,0,0.0,0,,,,,,,,,0,13.8,110.6,1252,0
COMPONENT3,11,0,1,0,0,0,19,0.0,0,6,184,,,,,,397,,0.0,,0,3,7,3,0,7,2524,1,157,28879,1,5,0,,1,,,,,,,,,0,,149.8,144,0
COMPONENT1,6,0,0,17,0,0,166,0.0,0,1,11,12.0,8.0,13.0,20.0,10.7,37,0.0,0.0,2.0,0,18,0,3,4,0,1159,5,9,11600,0,8,2,0.2,0,,,,,,,,,0,13.3,94.3,1323,0
COMPONENT3,4,0,0,1,0,0,0,0.0,0,0,2,,,,,,31,,0.0,0.0,0,4,0,0,0,0,554,0,24,26530,0,1,0,,0,,,,,,,,,0,,150.1,28,0
