AL,ANONYMOUS_1,CA,B,ZN,P,MO,FTBN,S,PQINDEX,FE,MG,V40,V100,FH2O,NA,K,SOOTPERCENTAGE,ANONYMOUS_2,CU,Y_LABEL
1,4988,54,11,1123,1023,43,8.0,7897,15,21,11,110.5,13.9,14.0,3,2.0,0.4,200,6,0
8,1653,2823,149,1192,951,24,9.7,4259,11,61,9,83.5,12.4,15.0,6,5.0,0.5,200,108,0
0,1696,2,186,1204,991,1,8.0,4111,21,76,23,80.7,11.8,15.0,6,9.0,0.6,200,15,0
7,1390,3026,3,1131,1014,0,8.6,11750,3,8,8,94.7,13.4,11.0,5,1.0,0.2,200,1,0
4,3086,3160,155,1287,1192,233,9.2,4535,16,3,27,113.1,13.8,18.0,2,2.0,0.2,200,1,0
2,4453,2834,2,994,850,0,7.7,3904,14,18,8,91.4,12.5,11.0,3,1.0,0.7,3653,6,0
2,7332,85,4,1315,1063,0,8.7,7724,17,19,17,96.8,13.2,11.0,3,3.0,0.4,6500,2,0
2,1415,2505,6,1206,983,203,7.7,4527,13,39,418,109.8,13.7,18.0,3,3.0,0.5,200,4,0
1,3053,2718,8,1361,1089,253,8.4,4315,30,22,20,105.8,13.5,18.0,0,2.0,0.8,200,1,0
0,1149,2413,8,1127,1029,2,8.3,3875,6,21,10,97.1,13.1,18.0,43,705.0,0.0,349,200,0
1,1369,2601,0,1021,829,0,8.0,4039,11,38,13,102.0,13.9,10.0,2,3.0,1.3,200,2,0
3,1354,19,145,1400,1154,239,9.3,3975,6,8,11,119.0,14.6,15.0,2,2.0,0.4,200,0,0
4,2901,3822,78,931,907,37,9.4,2585,7,12,9,96.4,12.6,9.0,3,3.0,0.7,391,0,0
3,3999,3413,1,1026,878,1,7.7,3937,11,25,14,89.8,12.2,12.0,4,3.0,0.8,200,6,0
4,6992,2498,260,1078,880,174,8.2,3798,10,24,12,79.5,11.3,13.0,2,3.0,0.6,550,5,0
3,5923,24,175,1258,1091,1,8.3,5766,10,27,262,99.6,13.7,17.0,1,3.0,0.4,200,7,0
4,1420,7,0,1468,1235,262,9.2,5446,11,13,15,122.7,15.0,15.0,4,4.0,0.6,200,2,0
1,2202,107,8,1103,848,174,9.9,4077,5,15,460,120.0,14.4,16.0,2,6.0,0.0,200,4,0
0,1788,2719,13,1131,911,0,7.5,4358,10,25,10,89.5,12.5,10.0,5,1.0,0.9,200,5,0
4,1191,1193,6,1327,1448,48,7.1,3424,5,25,1008,83.9,12.4,11.0,3,6.0,0.4,391,18,0
3,2206,2821,5,1380,1105,131,8.8,7079,13,20,15,99.2,13.4,13.0,0,0.0,0.4,706,1,0
1,1332,2446,4,1026,863,142,9.8,4999,19,18,370,131.8,15.7,14.0,2,5.0,0.8,200,1,0
150,7969,101,8,1093,977,4,6.4,6350,8,10,10,93.4,11.79,10.0,0,1.0,0.1,200,0,1
1,2654,152,14,1396,1232,236,9.1,5527,10,15,12,107.8,13.4,16.0,3,2.0,0.5,200,3,0
1,2701,3454,113,1119,956,45,8.3,8551,5,23,9,96.6,13.7,14.0,1,1.0,0.5,200,2,0
3,1000,3088,103,1408,1227,257,9.3,5269,14,7,14,112.4,14.2,20.0,3,5.0,0.1,200,1,0
2,1366,62,61,1120,962,54,8.5,8172,7,18,10,109.4,14.9,16.0,2,4.0,1.0,566,3,0
9,3055,39,1,1134,1023,35,8.3,9458,4,4,37,105.8,14.5,17.0,1,2.0,0.6,200,1,0
1,1702,2,169,634,545,39,4.5,9512,12,25,6,90.6,11.4,11.0,0,2.0,0.3,200,1,0
2,4040,3770,98,1035,927,43,8.1,8994,13,11,7,97.2,13.7,17.0,0,3.0,0.6,200,2,0
1,6275,34,185,1418,1191,260,9.5,5245,7,4,11,114.5,14.0,19.0,3,3.0,0.0,200,40,0
3,1511,3415,411,1063,896,171,10.2,3314,12,15,423,119.6,14.4,14.0,1,2.0,0.2,200,3,0
1,3814,45,0,1183,969,118,7.1,4355,11,11,15,101.5,13.4,19.0,2,3.0,0.5,3000,3,0
0,2117,295,9,1254,1065,0,8.4,4635,5,11,35,92.4,12.8,10.0,1,3.0,0.1,617,2,0
2,12667,3036,5,1336,1139,244,9.1,4613,14,21,35,113.8,14.1,20.0,0,3.0,0.3,200,2,0
11,2037,24,2,921,757,42,6.8,7482,10,25,6,114.3,14.1,17.0,6,2.0,0.4,200,3,0
5,1215,3491,30,1161,902,51,7.2,3960,22,29,15,99.6,13.3,19.0,0,3.0,0.6,415,7,0
0,2852,2602,2,1163,1021,0,7.4,4669,9,28,15,87.6,12.0,11.0,4,3.0,1.0,200,19,0
6,1228,3008,27,1342,1129,254,11.5,4788,9,7,13,103.0,13.0,15.0,3,3.0,0.0,428,3,0
4,2417,3294,172,1003,885,173,10.5,3629,9,14,446,123.7,14.8,16.0,3,5.0,0.2,200,1,0
0,4857,245,8,1050,859,0,8.0,3977,14,34,11,88.7,13.4,9.0,3,3.0,0.3,4050,11,0
1,1718,11,0,1207,1049,45,7.1,3411,7,25,925,85.8,13.5,13.0,3,6.0,0.3,540,14,0
2,2295,3358,2,1026,908,0,8.8,4506,5,14,9,92.4,12.7,8.0,0,0.0,0.4,395,1,0
2,3096,2947,141,1074,934,45,8.6,11280,20,10,9,99.3,13.4,14.0,1,2.0,0.0,200,2,0
2,2208,3802,3,974,842,0,7.8,3904,9,40,11,91.2,12.8,12.0,4,3.0,1.3,200,12,0
2,2425,195,9,1018,867,1,8.1,3665,5,25,10,86.0,12.1,12.0,5,5.0,0.2,200,15,0
1,6567,2574,383,1104,954,27,8.1,3757,5,22,78,99.8,13.3,12.0,7,4.0,0.1,200,27,0
2,1675,102,13,962,852,1,5.9,4948,9,19,7,62.5,9.4,9.0,1,3.0,0.3,875,2,0
7,1529,25,54,1092,929,38,9.3,6578,10,10,8,94.0,12.6,13.0,3,1.0,0.3,200,1,0
4,2924,3229,138,1502,1351,244,8.9,5684,3,36,12,109.1,13.8,16.0,4,4.0,0.5,200,24,0
2,1721,58,146,1212,1062,49,8.8,8477,42,61,12,133.0,15.9,20.0,10,59.0,2.0,200,13,0
2,1352,149,17,1409,1082,226,9.2,4298,38,23,14,112.1,14.1,16.0,2,4.0,0.4,552,4,0
51,1697,15,113,1080,923,17,8.3,10500,16,40,11,90.9,13.2,17.0,4,4.0,1.6,200,7,1
0,7309,61,0,779,681,4,5.5,7216,10,22,15,94.6,12.6,11.0,0,0.0,0.4,200,3,0
7,2346,3070,147,1061,913,140,10.1,4541,9,16,388,117.0,14.5,15.0,2,5.0,0.2,200,3,0
2,1600,2,5,980,851,0,8.2,3998,16,14,10,97.0,13.4,10.0,5,0.0,0.3,200,0,0
1,2007,2659,11,1014,850,4,8.1,3575,18,53,21,83.2,12.9,12.0,4,6.0,1.3,200,52,0
3,1415,3992,134,1285,1028,224,6.9,4754,24,31,19,106.1,13.7,17.0,0,3.0,1.0,200,4,0
3,2408,1317,7,1089,1027,59,7.8,2617,5,5,898,103.4,13.4,11.0,10,0.0,0.0,375,0,0
2,1544,2803,98,1118,892,1,7.6,4189,16,23,10,88.6,12.3,12.0,3,0.0,0.9,200,4,0
2,1385,3721,106,1482,1156,231,8.4,4706,14,43,16,106.0,13.8,15.0,3,4.0,1.4,200,13,0
1,2050,66,1,960,792,150,10.0,3594,6,13,377,121.3,14.6,13.0,3,4.0,0.1,200,4,0
4,2387,27,6,1078,938,43,8.8,10270,16,26,23,115.4,15.6,16.0,3,4.0,1.6,200,2,0
0,1347,141,15,1296,1075,230,9.0,4880,4,17,10,120.5,14.6,15.0,3,4.0,0.4,547,2,0
3,2613,3166,158,1210,963,0,7.6,4331,19,69,64,87.5,12.5,12.0,7,4.0,1.1,200,44,0
4,1648,152,18,1252,1055,3,9.1,6118,7,8,24,110.6,13.8,19.0,3,3.0,0.0,200,0,0
0,2180,166,17,1323,1159,3,10.7,11600,9,37,18,94.3,13.3,12.0,4,2.0,0.2,1380,11,0
0,3254,138,3,994,857,1,8.8,4465,14,6,27,105.6,14.1,9.0,2,2.0,0.6,200,0,0
1,3091,2,155,781,665,108,6.9,3643,16,33,260,62.0,9.8,12.0,2,3.0,0.4,200,6,0
3,1385,0,162,1076,892,163,9.6,3563,9,20,412,116.0,14.4,13.0,2,3.0,0.2,200,5,0
3,5193,3206,60,1152,883,1,7.6,4259,19,58,13,94.1,13.2,24.0,5,3.0,2.7,368,5,0
5,2068,3108,10,1581,1354,5,10.2,7868,19,37,65,99.2,13.1,14.0,0,0.0,1.1,550,6,0
2,2920,3445,1,1280,974,84,7.7,6024,9,13,140,93.6,13.4,14.0,2,0.0,0.4,460,0,0
6,5909,25,2,1094,930,0,8.4,3609,5,12,12,99.2,13.3,10.0,0,2.0,0.1,564,0,0
0,1864,151,19,1354,1106,251,8.9,4263,15,10,12,106.5,13.5,14.0,0,2.0,0.3,1064,0,0
7,3389,13,2,1033,879,0,8.2,6835,13,14,8,83.9,12.2,14.0,5,0.0,0.3,2650,1,1
3,1675,34,0,1479,1191,240,8.3,5533,3,26,12,117.1,14.2,14.0,3,2.0,0.3,200,5,0
9,1372,6,7,1389,1014,1,7.0,12470,13,17,14,100.7,13.7,20.0,4,2.0,0.1,200,9,0
1,1612,125,15,1155,1067,62,7.0,3129,7,16,980,100.9,13.6,13.0,8,3.0,0.1,200,0,0
10,1506,2873,216,859,774,25,9.7,7426,5,19,9,123.6,14.9,12.0,0,1.0,0.2,200,4,0
0,4040,340,6,991,876,42,8.0,8925,8,18,8,94.6,13.5,14.0,4,1.0,0.8,200,4,0
0,2696,22,7,1280,1141,2,8.1,7156,9,13,276,90.3,13.0,15.0,0,2.0,0.4,200,2,0
3,2004,1031,3,1452,1290,1,8.0,6920,4,18,272,96.2,13.8,15.0,2,3.0,0.7,364,0,0
0,2353,131,16,1121,955,40,8.3,10530,13,7,8,107.8,15.0,17.0,3,2.0,0.6,200,3,0
0,7693,59,11,1242,1097,178,9.5,5906,10,1,11,118.1,14.4,14.0,1,1.0,0.0,200,0,0
0,4869,19,7,1025,868,150,8.1,3857,13,24,13,109.1,13.9,14.0,3,3.0,1.1,200,2,0
0,1366,643,18,1032,906,0,8.2,4170,11,4,8,101.2,13.6,10.0,2,3.0,0.0,200,0,0
0,2498,271,7,1433,1157,258,9.7,4583,18,20,10,119.4,14.7,19.0,3,6.0,0.1,1600,1,0
2,5909,10,1,1167,954,0,8.5,4349,5,9,29,100.7,13.9,8.0,5,3.0,0.2,564,0,0
1,1000,2342,18,1530,1207,13,10.3,7416,18,103,38,124.6,15.4,19.0,3,7.0,2.0,200,22,0
3,1346,2550,0,1395,1168,53,6.9,3904,5,36,1055,83.9,13.2,12.0,0,6.0,0.3,375,15,0
0,3796,51,3,1224,1108,3,9.3,6386,14,5,20,113.0,13.9,18.0,0,3.0,0.2,550,0,0
4,1394,3105,95,855,724,36,8.2,8967,29,40,9,98.5,13.3,13.0,4,3.0,0.1,200,9,0
58,1712,26,0,1300,988,45,8.6,3382,6,44,16,102.1,13.5,17.0,0,3.0,1.1,550,5,1
3,6500,470,0,1162,1035,2,9.8,3092,15,39,236,79.9,12.4,14.0,5,11.0,0.4,200,30,0
4,7050,3365,7,1293,1142,266,8.7,4514,17,20,12,111.6,13.8,16.0,1,4.0,0.8,200,2,0
0,6221,114,4,1216,998,224,8.9,5309,11,20,13,115.6,13.9,14.0,4,3.0,0.6,200,5,0
1,3186,29,189,1504,1293,269,9.2,4929,6,11,12,112.0,14.0,14.0,4,1.0,0.4,200,1,0
5,1648,2796,128,1313,1145,0,8.6,6249,50,9,269,94.4,13.2,14.0,2,2.0,0.3,200,0,0
8,1550,3194,116,1358,1128,202,11.4,5576,12,32,10,122.4,15.1,17.0,4,10.0,2.1,200,5,0
0,2399,80,123,1178,1035,4,8.3,6860,75,17,213,98.8,13.8,16.0,0,3.0,0.7,200,0,0
144,7723,226,29,1438,1186,262,8.6,5309,11,19,14,115.0,14.5,21.0,5,11.0,0.2,200,4,1
0,3459,355,2,1256,958,193,8.2,3893,8,44,357,124.9,15.1,14.0,2,4.0,1.1,200,5,0
1,2264,11,4,1023,754,172,9.7,3133,8,29,431,120.0,14.6,16.0,3,2.0,0.7,200,5,1
194,1698,12,141,1114,948,52,8.2,8070,12,20,38,108.2,14.2,19.0,2,1.0,0.3,585,1,1
3,1786,10,0,1309,1283,4,10.5,10060,9,9,27,102.8,13.8,15.0,2,4.0,0.1,200,1,0
5,1609,3156,136,1283,1091,250,8.8,4703,9,8,11,95.4,12.2,15.0,4,2.0,0.1,200,0,0
0,2403,46,2,1027,886,0,7.4,4007,5,31,14,93.2,12.8,10.0,3,2.0,1.4,529,5,0
2,4929,3126,422,933,852,0,7.8,3856,6,9,9,88.7,12.3,10.0,2,2.0,0.4,200,0,0
2,2050,2906,0,1043,881,0,8.2,3926,5,9,18,98.3,13.6,9.0,3,2.0,0.1,325,0,0
2,1375,45,158,987,824,26,7.8,3555,10,24,24,92.7,12.4,11.0,5,2.0,0.2,200,33,0
2,5138,2104,6,1132,987,0,8.8,5065,8,13,233,95.3,13.3,12.0,2,2.0,0.2,200,1,0
2,1333,68,0,1102,980,202,10.6,3861,5,14,12,122.7,14.7,16.0,3,5.0,0.6,200,2,0
2,6217,2983,0,1003,892,0,7.6,4128,13,18,12,107.6,14.4,13.0,2,2.0,1.1,200,1,0
2,1454,2844,5,1245,1098,0,9.2,7830,17,26,12,100.5,13.4,15.0,4,4.0,0.8,200,2,0
1,2031,127,17,1076,925,0,8.9,10380,5,8,11,94.0,13.5,10.0,5,3.0,0.2,200,0,0
3,3415,3110,134,1168,1082,0,5.9,4185,14,5,7,105.8,14.2,14.0,4,0.0,0.3,200,0,0
0,2400,60,66,1328,1177,2,3.0,11300,14,15,21,91.0,12.8,15.0,6,3.0,0.1,200,30,0
303,1718,122,23,1330,1080,246,8.7,4384,15,7,16,118.6,14.2,13.0,2,2.0,0.2,375,0,1
1,1382,20,0,1082,984,108,8.0,8688,8,10,10,106.5,14.3,13.0,3,3.0,0.6,200,0,0
0,1404,152,20,953,744,3,8.7,8296,10,24,20,136.6,16.3,14.0,2,1.0,0.3,604,7,0
0,1427,126,20,1028,839,147,9.7,4073,18,29,370,108.9,14.1,14.0,2,3.0,0.6,200,3,0
8,2048,2680,239,1223,1021,192,9.8,4317,8,6,24,114.1,14.2,17.0,4,0.0,0.0,200,55,0
0,3580,45,0,1097,958,0,8.7,4642,6,20,13,95.6,12.9,11.0,4,3.0,0.4,200,2,0
2,1296,2351,51,1097,935,2,9.0,4329,25,7,14,103.8,14.2,11.0,3,2.0,0.0,200,0,0
2,1674,3010,11,936,805,2,9.8,3815,6,21,18,101.8,13.6,14.0,2,2.0,0.9,552,4,0
5,1526,3015,157,1026,892,35,8.3,9024,18,11,10,89.7,11.9,14.0,3,0.0,0.4,200,1,0
40,1338,24,6,1224,975,4,7.1,4497,5,34,24,79.7,11.2,11.0,5,4.0,0.2,200,35,1
3,1148,2719,19,1173,1016,44,8.2,10140,12,21,11,85.2,11.6,16.0,2,3.0,0.4,348,2,0
75,3060,141,126,993,849,171,10.1,3607,12,12,440,120.9,14.6,15.0,3,3.0,0.6,200,1,1
7,1248,3095,3,1439,1151,126,8.8,7209,1,31,14,86.8,12.1,13.0,0,1.0,0.4,200,8,0
2,4698,45,2,1134,943,0,8.0,4690,5,12,14,105.9,14.2,10.0,3,2.0,0.4,900,0,0
0,2069,91,4,1218,986,196,10.1,4099,9,12,90,112.5,13.8,14.0,4,2.0,0.1,200,3,0
0,4192,63,6,1132,919,0,8.1,3902,5,20,12,96.7,13.4,9.0,2,2.0,0.5,578,1,0
7,1362,142,19,1264,1111,5,10.1,6241,16,10,16,113.2,13.9,22.0,2,0.0,0.0,562,1,0
2,6860,47,4,1356,1179,2,7.7,11640,9,10,23,90.6,13.1,8.0,0,0.0,0.2,200,1,0
0,2701,58,5,1077,876,159,5.2,7560,21,282,22,130.7,14.4,38.0,40,23.0,2.8,200,21,1
5,5412,3516,90,1134,939,40,9.3,2997,6,12,9,101.1,13.2,9.0,2,0.0,0.9,471,1,0
3,4516,1775,2,1092,936,0,7.0,4483,17,20,9,93.1,12.7,12.0,3,2.0,0.9,375,13,0
7,3966,2619,199,1325,1075,117,9.8,7969,10,44,14,106.5,14.3,12.0,2,1.0,0.9,403,4,0
2,2449,8,36,1059,851,170,10.5,3717,3,12,444,129.5,15.2,14.0,2,21.0,1.0,200,2,0
0,1307,145,20,1237,1027,4,8.2,5162,5,18,90,97.9,13.4,8.0,3,4.0,0.1,507,2,0
4,2171,3286,23,998,811,6,8.1,7063,12,11,18,95.0,13.5,16.0,3,3.0,1.1,200,0,0
2,2879,3192,22,1074,1123,1,8.9,4026,5,14,9,96.1,12.8,9.0,3,2.0,0.6,377,2,0
6,1186,3076,36,1243,980,1,10.8,4865,13,95,14,103.0,14.0,19.0,8,19.0,2.1,200,48,0
2,3622,11,2,1106,935,0,8.0,4120,16,15,9,95.4,13.1,10.0,2,1.0,0.2,200,4,1
3,1784,28,4,1491,1217,4,11.2,7611,6,36,25,111.6,13.9,20.0,3,14.0,1.4,984,11,0
6,3437,2384,3,1409,1231,272,9.4,5014,11,16,14,122.5,14.7,13.0,5,3.0,0.8,200,0,0
8,1491,2953,3,1342,1087,109,10.4,6343,9,59,366,109.2,14.9,15.0,2,6.0,1.1,200,7,0
4,3107,3306,150,1298,1097,216,10.4,4787,10,21,13,111.0,13.8,14.0,3,3.0,0.4,200,10,0
6,1477,11,0,1244,1111,24,8.2,6776,3,7,24,105.7,13.1,14.0,1,3.0,0.1,200,0,0
1,1794,126,17,1366,1093,238,8.9,5707,1,24,13,113.9,14.5,17.0,2,5.0,1.1,994,4,0
4,1675,2725,3,1164,953,4,9.0,4122,38,41,14,100.7,13.5,11.0,7,4.0,0.5,200,19,0
0,1689,160,22,920,751,155,10.1,3190,9,13,395,123.9,14.9,14.0,0,2.0,0.2,200,1,0
3,1709,3538,390,1464,1184,0,7.6,5270,7,39,294,105.0,14.6,13.0,7,0.0,0.8,375,0,0
1,2698,3198,418,1151,1031,37,7.6,10830,18,26,8,102.2,14.4,17.0,2,2.0,1.4,200,5,0
2,3814,3203,1,1100,958,0,8.5,4420,5,9,9,94.7,12.9,11.0,3,2.0,0.2,3000,2,0
3,9672,383,7,1165,1002,213,9.5,4390,10,9,14,111.6,13.9,13.0,2,0.0,0.5,200,0,0
5,1726,16,8,1442,1244,266,9.1,5635,188,6,11,112.9,13.9,18.0,8,5.0,0.1,200,2,0
0,6660,7,2,1279,1139,3,8.2,6611,17,13,258,92.3,13.0,16.0,0,2.0,0.3,200,5,0
3,1275,10,1,1193,1004,7,9.2,4613,80,46,11,81.4,11.9,11.0,4,0.0,0.4,475,27,0
12,6615,41,148,1204,1002,25,8.1,3769,14,32,12,95.2,13.1,11.0,17,3.0,0.2,200,31,0
2,1707,3693,34,1104,1080,3,9.7,9848,5,10,13,96.2,13.2,11.0,1,2.0,0.1,519,0,0
2,2019,137,14,985,820,172,10.1,3259,11,12,414,110.3,14.0,13.0,0,3.0,0.3,200,2,0
1,1404,90,0,1164,971,3,9.5,12040,4,18,15,95.4,13.7,9.0,2,3.0,0.4,200,2,0
3,1343,3259,364,1028,892,39,7.1,10590,3,19,11,87.8,12.7,13.0,2,5.0,0.6,200,2,0
4,4319,3136,12,1061,898,17,7.9,12190,14,11,52,130.4,14.3,12.0,4,2.0,0.2,200,1,0
2,2099,3055,5,1053,859,0,8.7,4622,6,19,12,93.3,12.6,10.0,0,4.0,0.9,447,0,0
0,1728,14,2,1190,953,0,7.8,4874,15,14,232,80.1,12.0,11.0,0,2.0,0.3,403,2,0
5,1182,2689,2,757,649,62,8.7,5345,9,29,5,88.8,12.7,13.0,4,8.0,0.8,382,2,0
6,3795,129,0,1444,1252,5,8.3,6459,27,19,288,94.3,13.5,12.0,0,2.0,0.5,200,2,0
1,1762,5,219,1014,754,5,7.1,3279,17,86,23,82.3,12.4,13.0,3,6.0,1.7,200,40,0
4,2243,3097,3,1092,885,0,8.2,4092,6,26,11,97.1,13.3,11.0,3,1.0,0.9,200,3,0
0,8020,40,0,1040,952,0,7.9,4204,17,14,9,96.3,13.2,15.0,2,2.0,0.2,200,1,0
3,1357,3536,442,1313,1117,46,6.8,3511,5,49,1024,85.9,13.3,12.0,0,5.0,0.6,375,12,0
0,6247,113,2,1203,984,224,8.1,3868,14,12,10,90.9,12.27,13.0,0,3.0,0.7,550,0,0
1,4595,36,6,965,847,36,7.3,5018,12,10,8,82.3,12.2,19.0,2,2.0,0.1,550,0,0
1,3796,43,0,1283,1053,246,8.1,3976,14,18,13,122.5,14.6,13.0,1,7.0,0.4,200,2,0
3,1388,3540,12,1079,892,5,8.2,4827,6,31,90,90.4,12.3,8.0,5,3.0,0.6,393,8,0
1,3174,59,3,1345,1109,257,9.0,4286,23,19,15,124.7,15.2,16.0,1,3.0,1.2,200,0,0
1,1767,280,9,1290,1122,5,9.7,7880,21,11,282,97.9,13.7,17.0,112,24.0,0.2,200,1,0
4,1718,123,150,1218,1040,192,9.9,4330,6,18,458,114.9,13.9,14.0,3,0.0,0.4,200,5,0
2,68537,3029,124,1423,1182,258,9.3,4827,8,5,14,113.6,14.1,17.0,0,2.0,0.1,200,0,0
5,1219,3048,9,1347,944,4,8.3,6182,48,25,237,97.9,13.5,15.0,0,1.0,1.0,200,2,0
4,1189,2111,6,970,841,42,7.1,3292,6,8,12,105.0,14.0,12.0,2,2.0,0.3,375,1,0
2,2127,2080,0,1378,1136,0,8.5,5915,11,6,256,92.1,13.1,11.0,2,0.0,0.0,200,0,0
4,3091,3166,161,1157,998,62,11.3,8948,33,124,37,125.6,15.8,21.0,3,5.0,2.4,200,8,0
5,1643,3296,134,1200,1047,208,9.5,4479,4,6,12,113.0,13.9,14.0,3,3.0,0.0,200,2,0
0,8809,3586,7,1074,941,0,7.3,4261,11,19,12,93.6,12.9,12.0,0,0.0,1.6,659,9,0
0,1355,131,15,1600,1337,28,8.8,6562,4,12,275,100.6,14.0,12.0,2,9.0,0.4,555,0,0
0,2772,129,3,1416,1135,243,9.3,5189,6,6,12,117.0,14.5,15.0,3,4.0,0.3,200,1,0
3,4872,3139,185,1077,857,0,7.0,3538,13,29,11,90.9,12.5,12.0,2,1.0,2.1,200,16,0
3,2778,82,6,1052,854,35,7.6,4206,10,46,25,96.6,12.9,13.0,6,2.0,0.3,200,40,0
2,1360,187,23,1271,969,2,8.4,4356,17,52,10,84.1,13.0,12.0,4,6.0,0.3,200,40,0
1,3819,77,8,1213,1017,14,8.7,4085,5,44,194,88.5,13.3,13.0,11,1.0,0.6,200,7,0
724,2058,94,5,1269,1114,3,8.5,7607,8,20,16,104.1,14.3,10.0,3,0.0,0.6,200,2,1
0,4455,43,102,600,523,54,6.1,7405,7,13,6,102.0,12.7,9.0,0,3.0,0.2,200,0,0
0,4458,623,4,995,881,157,10.2,4055,9,15,391,115.7,14.5,14.0,3,5.0,0.3,200,4,0
2,2913,28,152,1196,1059,56,9.6,9689,6,16,12,109.1,14.9,16.0,1,2.0,1.0,200,3,0
3,1000,2665,239,1085,930,0,7.2,4515,16,28,12,94.7,13.1,15.0,3,0.0,2.2,200,8,0
2,1761,240,11,1034,914,196,9.2,3142,7,16,18,116.1,14.3,14.0,0,3.0,0.7,200,5,0
5,1619,3382,191,1437,990,12,6.5,7549,11,162,22,98.1,13.4,18.0,6,9.0,1.4,200,96,0
2,3698,3588,87,1027,946,0,7.7,3924,5,15,18,102.2,13.8,20.0,0,3.0,1.8,200,3,0
2,2416,3006,21,955,859,3,9.2,10460,0,5,7,89.3,12.7,10.0,3,0.0,0.3,200,0,0
0,1655,26,153,1304,1101,2,8.6,7515,21,12,255,97.1,13.7,15.0,1,2.0,0.5,505,0,0
1,2463,20,4,1193,958,211,9.7,4782,5,26,11,109.7,14.5,15.0,3,3.0,0.7,200,4,0
4,5660,36,3,1338,1119,236,9.2,5093,4,6,13,115.6,14.5,19.0,2,7.0,0.1,200,2,0
1,3931,8,222,910,770,149,8.4,3692,16,18,388,119.3,14.2,15.0,3,2.0,0.3,200,2,0
0,4903,81,11,1156,1063,0,6.9,7348,8,7,32,101.6,13.8,9.0,4,3.0,0.1,200,1,0
3,1411,3408,5,1246,1038,212,8.6,4458,18,14,14,109.4,13.7,14.0,2,2.0,0.5,200,2,0
40,2371,191,210,969,726,81,7.3,8103,39,58,46,96.4,11.8,10.0,0,4.0,0.4,200,3,1
0,1178,263,21,1155,961,41,8.8,5594,13,10,8,96.3,13.1,14.0,3,1.0,0.1,378,0,0
10,5575,7,148,1176,1005,208,9.3,4417,4,20,26,105.6,13.9,14.0,2,2.0,0.4,200,3,0
5,1197,2783,2,1349,1108,244,10.3,4644,5,13,38,121.8,14.7,14.0,4,2.0,0.2,397,4,0
3,2048,2976,1,819,776,36,7.2,3236,10,8,10,105.0,13.8,14.0,7,4.0,0.3,200,1,0
4,4176,2567,2,1160,1022,0,6.9,11480,15,16,10,99.4,13.7,12.0,7,2.0,0.0,200,6,0
8,1379,11,8,969,811,166,10.2,3280,5,12,403,114.4,14.3,12.0,2,2.0,0.4,200,2,0
3,1333,3062,3,1113,982,42,8.2,10080,7,9,8,104.2,14.4,16.0,2,1.0,0.7,200,3,0
1,2423,16,207,941,789,2,8.4,7996,1,6,53,90.7,12.9,11.0,3,0.0,0.3,200,0,0
0,1674,136,5,1080,992,34,10.1,6006,15,20,57,100.2,14.0,34.0,474,44.0,0.3,200,27,0
3,3473,735,3,985,820,30,8.1,5246,2,17,42,93.7,13.0,14.0,9,1.0,0.4,200,2,0
3,1359,65,0,1252,1075,241,9.0,4426,14,15,11,111.1,13.8,17.0,3,3.0,0.4,363,3,0
6,2784,3215,127,1389,1174,181,8.9,5036,7,42,53,112.1,14.4,15.0,4,5.0,0.9,200,17,0
7,4701,3540,375,1175,971,41,7.8,10540,14,44,11,123.1,16.6,120.0,0,2.0,3.6,200,2,1
5,1382,3546,1,1211,1126,209,8.7,4099,22,17,25,108.1,13.8,13.0,2,3.0,0.2,200,7,0
0,3573,76,4,1161,985,4,8.0,4073,15,49,16,95.4,12.9,10.0,7,5.0,0.4,200,16,0
0,9948,28,2,1306,1108,1,7.9,6075,14,11,256,94.4,13.4,10.0,3,2.0,0.0,200,0,0
11,1536,2834,186,1123,1114,1,7.3,10450,11,27,12,101.9,13.1,76.0,6,3.0,0.3,375,0,0
2,1695,2897,95,1142,968,0,6.8,4136,12,30,14,93.0,12.5,10.0,5,2.0,0.6,900,14,0
1,2034,164,14,1504,1206,261,8.5,4982,7,35,16,110.1,14.0,14.0,2,3.0,0.4,1234,25,0
11,2034,3176,209,1189,1005,3,7.9,10370,2,24,42,87.3,12.7,10.0,5,0.0,0.4,200,4,0
1,2068,128,19,1143,1132,3,10.1,9180,10,9,33,93.6,12.9,14.0,2,4.0,0.2,1268,2,0
1,1381,134,26,1365,1112,257,8.3,4318,20,22,13,126.1,15.1,14.0,2,3.0,0.7,581,0,0
0,2059,107,0,951,880,35,7.7,4754,19,19,13,89.7,12.8,14.0,0,2.0,1.0,1259,7,0
1,6780,3241,111,1125,926,12,7.2,3867,16,89,25,84.3,12.1,11.0,7,6.0,1.2,5800,60,0
2,1361,12,0,1195,1016,16,8.3,10670,4,22,8,85.3,12.6,11.0,5,2.0,0.7,200,2,0
1,2341,46,6,1049,875,42,8.9,5524,9,37,16,87.3,12.4,13.0,3,2.0,0.5,550,12,0
1,1700,280,10,1045,887,20,8.1,7773,4,54,18,96.5,13.9,12.0,14,3.0,0.7,200,2,0
0,1310,128,19,1100,919,47,9.3,7450,8,12,9,120.0,14.4,13.0,2,2.0,0.1,510,1,0
4,3802,3107,145,1230,999,18,9.2,6159,8,59,20,98.5,13.4,14.0,6,7.0,0.4,200,40,0
