CA,V40,AL,MG,ANONYMOUS_1,BA,MO,S,P,CU,B,PQINDEX,FE,ZN,NA,K,SI,MN,ANONYMOUS_2,PB,Y_LABEL
2721,69.3,1,290,1406,0,122,3320,850,431,4,2,16,1003,5,0.0,4,0,200,0,0
208,83.1,0,8,1689,0,99,9651,876,2,10,18,9,960,2,4.0,4,0,200,0,0
3389,70.1,0,10,6611,0,131,4751,1109,4,109,19,18,1270,12,3.0,3,2,561,0,0
3184,74.7,3,11,6230,0,192,4472,1178,2,14,18,25,1354,12,3.0,4,0,200,1,0
154,69.6,2,7,2296,0,2,4187,1101,75,18,29,20,1204,26,10.0,3,0,1496,0,0
3655,84.9,1,14,2033,0,212,5101,1097,3,118,48,29,1243,4,4.0,19,1,407,0,0
123,60.3,3,6,3457,0,0,3953,933,6,9,6,12,1098,21,6.0,3,1,200,0,0
96,72.0,0,10,2071,0,4,8547,999,0,5,15,8,1164,5,1.0,3,0,200,0,0
20,35.3,5,9,2740,0,81,3650,875,14,0,17,30,971,12,2.0,3,3,200,5,0
3440,72.0,4,12,2507,0,0,4815,1114,0,445,6,8,1187,5,3.0,3,0,200,0,0
1934,65.0,5,14,3473,0,2,5345,1085,5,0,22,28,1220,14,2.0,4,1,200,2,0
248,71.1,2,402,3855,0,30,3999,929,97,6,24,15,1008,12,3.0,3,4,200,113,0
139,65.0,1,9,1372,0,8,10006,1062,82,19,10,15,1173,6,0.0,3,1,572,0,0
1135,61.5,1,878,1351,0,41,3421,1058,4,2,10,14,1146,36,0.0,6,0,551,1,0
17,56.7,0,7,3607,0,0,4201,999,6,9,20,20,1132,22,4.0,3,1,200,0,0
136,64.2,0,8,1685,0,2,4096,938,7,18,14,19,1041,25,3.0,4,6,200,0,0
3393,72.0,11,13,1753,0,3,5263,1066,1,151,9,12,1274,3,2.0,4,0,200,0,0
53,68.2,1,11,1354,2,159,4156,1290,1019,4,17,35,1328,12,0.0,4,1,375,0,0
1978,81.7,2,102,2498,0,169,5206,1375,0,12,18,13,1490,3,1.0,3,0,200,0,0
3400,55.9,3,3,1399,1,0,4766,1097,4,118,21,21,1332,26,4.0,3,0,200,0,0
2048,79.5,2,204,7367,0,44,6355,1159,1,1,18,23,1242,3,1.0,4,0,200,0,0
19,85.1,2,22,1380,1,126,5893,796,26,6,1,4,877,3,3.0,38,0,200,2,0
134,66.2,2,13,1334,0,122,5633,1168,767,14,12,31,1306,9,2.0,6,0,534,0,0
91,61.6,2,25,1370,1,4,4754,1003,114,147,31,22,1025,12,2.0,5,8,200,69,0
109,72.9,6,12,7125,0,184,4717,1117,2,2,23,19,1245,11,0.0,3,0,746,0,0
16,67.9,5,13,2724,0,39,9478,945,8,2,47,51,982,5,0.0,17,0,200,0,0
124,67.7,3,7,2122,0,4,4178,1060,322,13,15,30,1195,36,11.0,4,0,200,2,0
39,77.4,1,9,3873,0,71,6500,1108,3,0,25,30,1127,6,2.0,9,0,200,0,0
49,76.2,4,21,3859,0,215,4255,1169,1,3,20,17,1256,5,2.0,3,0,200,0,0
3428,65.6,0,47,2169,0,4,4000,942,9,122,5,9,992,23,2.0,4,0,669,1,0
74,72.2,12,12,6950,0,0,4527,986,0,0,8,12,1061,3,2.0,3,0,550,0,0
2181,70.5,3,17,1768,0,5,8408,1089,360,21,17,29,1160,13,2.0,3,0,350,0,0
62,65.9,0,9,3445,0,2,4272,1065,20,4,1,19,1128,21,4.0,3,0,200,0,0
134,66.5,0,7,1597,0,31,4234,984,7,7,26,15,1072,12,2.0,3,2,200,0,0
3330,63.4,0,10,2169,5,0,3867,1047,4,118,9,17,1137,12,2.0,3,0,669,2,0
8,71.6,3,17,3070,0,31,11560,850,4,2,14,21,898,4,2.0,9,1,200,1,0
124,64.2,2,8,2047,0,3,4581,1115,354,15,7,24,1268,26,3.0,4,4,200,0,0
29,55.5,0,4,3450,0,4,3067,817,302,203,11,24,938,14,0.0,2,0,200,0,0
3397,70.3,5,21,6539,0,79,5986,1120,2,409,22,21,1186,8,3.0,3,0,200,0,0
139,74.3,0,15,2143,0,1,4302,846,0,0,8,8,776,7,0.0,3,0,1343,3,0
2689,75.2,1,13,1359,2,202,4958,1272,2,83,19,19,1364,9,1.0,6,2,559,0,0
2959,75.7,5,13,1554,0,240,5265,1222,169,10,6,19,1359,12,0.0,4,5,200,213,0
2959,72.7,2,10,2545,0,22,4804,978,184,96,12,23,1074,8,4.0,5,0,200,0,0
3286,78.6,3,15,5140,0,21,3438,933,0,59,5,6,954,4,0.0,8,0,558,0,0
3473,79.5,1,6,1385,0,40,11390,982,2,2,529,16,1047,3,2.0,11,0,200,0,0
88,73.4,0,156,3192,0,6,7304,997,30,4,37,52,974,5,1.0,5,6,200,1,0
3329,68.8,2,98,2419,0,5,4474,978,0,3,8,10,1100,5,2.0,2,0,531,0,0
3237,76.3,2,11,4088,0,19,6943,1087,33,4,16,14,1204,12,5.0,4,0,606,2,0
3555,75.1,2,9,10884,0,185,5116,1199,1,6,18,18,1482,7,2.0,2,0,550,2,0
2643,77.6,2,9,1343,0,172,3774,1098,2,6,17,16,1313,9,1.0,4,1,200,0,0
3472,57.4,0,8,6334,0,0,4181,1012,5,118,26,15,1133,24,0.0,4,0,200,0,0
860,58.7,2,862,1595,0,41,2796,912,3,13,11,14,1229,22,1.0,5,0,795,0,0
2423,77.3,4,75,3912,0,36,6891,1121,0,2,21,28,1176,0,3.0,9,0,200,0,0
27,68.1,169,7,1697,2,2,3731,856,28,104,9,15,970,23,2.0,2,2,200,0,1
2395,83.6,0,17,4151,0,253,4831,1278,0,5,17,8,1328,2,2.0,4,0,200,0,0
3048,79.2,6,15,3494,0,151,7944,1404,90,125,14,16,1483,4,1.0,7,0,200,0,0
3424,83.4,2,11,2068,0,266,5061,1272,0,426,21,15,1366,2,2.0,4,0,1268,0,0
28,70.4,0,13,4381,0,37,4829,1092,352,2,7,50,1111,3,2.0,4,0,704,0,0
3043,78.3,5,255,4454,0,6,7365,1275,0,147,13,22,1349,2,4.0,4,0,200,0,0
3094,68.3,3,12,2714,0,127,4656,1078,2,38,14,18,1349,13,3.0,4,0,200,0,0
3133,74.7,9,11,11531,0,185,5324,1146,661,446,13,24,1275,10,0.0,8,1,200,1,0
3363,66.5,3,6,1534,0,3,4502,1072,65,1,3,17,1180,20,8.0,3,0,200,0,0
3504,63.1,0,12,1355,3,3,6262,1071,199,100,8,11,1251,10,1.0,3,0,550,3,0
2814,73.6,3,89,4892,0,1,3991,982,4,2,15,12,1135,10,2.0,4,0,200,0,0
3139,77.9,3,239,2406,0,115,5120,958,233,113,10,13,1113,5,2.0,7,0,200,0,0
2523,72.3,0,10,2402,0,3,4539,974,0,3,15,9,1093,3,2.0,3,0,200,0,0
2224,62.1,2,6,5736,0,0,3887,865,7,7,16,22,941,22,3.0,2,4,200,0,0
3295,79.0,7,12,2030,0,64,4168,1089,0,167,6,11,1161,3,0.0,3,0,200,0,0
18,69.3,0,10,3050,1,2,4081,1052,2,2,15,27,1147,6,1.0,4,0,200,0,1
3555,70.5,3,7,1324,2,4,4121,1038,294,109,12,27,1231,30,7.0,4,0,524,0,0
2597,82.4,0,15,4453,0,264,5073,1296,10,2,23,20,1378,3,2.0,3,0,3653,0,0
3324,77.8,2,12,1360,3,225,4419,1120,163,107,25,19,1166,5,2.0,4,4,200,167,0
2950,65.0,2,7,1488,0,4,4068,819,6,110,8,18,896,25,4.0,3,5,338,0,0
3424,55.3,4,6,1361,4,5,4245,1047,335,99,5,17,1162,28,2.0,6,1,550,0,0
3022,61.4,1,11,2698,0,25,8323,828,4,306,21,34,951,10,2.0,7,0,200,0,0
150,79.2,0,14,1416,0,109,4246,1060,0,0,23,12,1203,4,0.0,2,0,200,0,0
2261,81.3,2,235,3450,0,0,6317,1091,6,4,4,22,1220,3,0.0,4,0,200,1,0
3352,71.2,3,8,1683,0,140,4471,1122,331,349,13,14,1286,17,4.0,4,1,200,0,0
2482,71.9,0,11,3475,0,1,4802,934,0,6,118,8,1123,3,0.0,3,0,200,0,0
30,64.9,2,9,2621,0,7,3888,840,6,4,30,21,902,19,3.0,4,5,200,0,0
72,64.0,0,170,4525,0,2,3896,994,3,0,6,10,1099,18,2.0,5,0,1600,0,0
2764,62.7,10,279,4005,0,69,5913,1252,24,207,16,39,1244,40,4.0,7,17,200,1,0
2808,65.5,7,159,1352,3,0,3797,1026,3,5,6,20,1100,15,2.0,3,0,375,0,0
2845,54.5,5,9,5146,0,9,3914,950,8,405,44,24,1028,31,5.0,3,1,200,0,0
2688,81.5,3,11,1360,0,147,6408,1382,57,1,7,11,1203,5,0.0,3,1,375,0,0
2794,64.8,0,7,1439,0,4,4091,895,5,4,14,15,952,25,3.0,4,5,639,0,0
3256,73.4,7,279,1434,1,106,3448,812,578,79,17,30,939,7,4.0,5,0,200,0,1
3157,68.9,1,116,2710,0,5,4189,895,0,3,5,9,1146,5,2.0,1,0,200,0,0
3895,80.3,5,20,2190,0,259,4540,1285,0,104,23,25,1365,3,1.0,5,0,200,0,0
2435,66.8,2,7,2091,0,0,4529,1149,9,9,20,21,1245,30,5.0,3,0,200,0,0
3878,71.9,4,11,3859,0,0,4253,903,0,33,14,14,1053,4,2.0,6,0,200,0,0
2441,75.2,3,12,1186,4,134,4195,1116,2,7,29,22,1245,11,3.0,4,0,386,0,0
3189,81.2,5,13,4330,0,264,4650,1246,1,119,22,15,1299,2,3.0,3,0,200,0,0
3060,69.1,7,13,2054,0,0,5307,986,28,176,17,14,1101,14,7.0,2,0,200,0,0
2152,76.5,0,9,1415,0,37,4082,1076,0,3,10,13,1153,5,0.0,3,0,200,0,0
2525,72.2,2,11,8285,0,32,4888,1070,0,127,11,15,1167,2,2.0,3,0,200,0,0
2974,63.1,4,17,1364,1,11,4849,1102,559,29,8,18,1233,23,2.0,3,0,375,2,0
135,67.6,3,7,2069,1,3,4393,1014,14,12,36,14,1220,26,5.0,3,0,1269,1,0
2578,70.3,2,12,1719,0,0,4507,1043,1,41,20,10,1100,5,1.0,5,0,200,1,0
37,82.9,1,14,1366,0,67,7623,1123,2,3,5,12,1176,6,2.0,3,0,566,1,0
419,73.1,5,11,7534,0,168,5009,1209,775,0,16,32,1299,10,2.0,3,0,200,0,0
3678,80.0,3,135,3390,0,17,5382,1001,0,137,28,10,1169,0,1.0,5,0,200,0,0
2846,58.1,2,12,2384,0,53,2979,666,81,0,12,10,772,24,2.0,4,5,533,180,0
3288,71.5,8,7,1854,1,6,4842,925,0,172,16,9,1120,2,0.0,3,0,200,0,0
162,64.2,2,7,3844,0,4,3975,879,6,17,15,15,947,22,3.0,4,6,510,0,0
75,81.1,0,13,6221,0,3,6153,1087,278,2,21,28,1145,12,0.0,5,4,200,2,0
108,86.8,6,18,1365,0,143,7762,1124,24,163,56,36,1212,0,2.0,9,2,407,21,0
43,68.5,0,7,1704,0,3,3959,1012,80,6,10,13,1132,25,1.0,3,5,200,1,0
3293,35.3,8,1,5208,0,0,916,211,10,365,6,10,27,3,2.0,5,0,200,2,0
131,72.9,0,10,2008,0,119,5234,1063,5,0,0,15,1123,15,4.0,3,3,200,0,0
2720,72.2,3,15,1702,0,4,10020,1436,108,293,10,9,1587,4,3.0,5,0,200,3,0
2928,75.3,5,234,1364,0,94,4357,1012,388,139,17,27,1048,15,7.0,5,0,200,0,0
2966,78.7,6,257,1152,5,10,7358,1201,0,0,11,18,1385,3,1.0,3,0,200,0,0
24,75.4,2,243,3390,0,100,4643,1064,541,1,16,35,1208,13,16.0,5,0,200,0,0
244,71.0,0,9,1599,0,11,4389,1034,0,8,5,15,1096,4,0.0,4,0,200,0,0
3757,69.8,4,16,1888,0,2,4952,1053,5,396,25,14,1215,11,3.0,3,1,388,0,0
2948,82.2,10,21,1324,4,246,4403,1205,0,9,16,13,1288,0,2.0,3,0,200,0,0
2232,70.8,5,8,2438,0,55,6803,693,284,2,10,13,763,4,3.0,4,0,200,0,0
2920,85.4,0,12,7050,0,280,5418,1301,0,103,11,13,1417,5,2.0,3,0,200,0,0
2523,79.8,0,12,2014,0,132,4246,1147,2,23,7,11,1210,3,0.0,4,0,200,0,0
3403,86.1,5,12,3074,0,275,5715,1275,0,114,27,7,1366,3,0.0,5,0,200,0,0
134,63.3,0,351,5023,0,17,4078,1047,2,3,12,19,1185,14,1.0,3,0,200,0,0
3013,100.1,1,9,4904,0,36,3857,730,0,436,5,2,886,0,0.0,10,0,604,0,0
15,77.9,2,18,1380,0,191,6822,1052,40,4,4,13,1155,4,2.0,25,0,200,0,0
1876,59.8,1,541,1855,0,25,3860,1026,1,2,10,11,1162,19,0.0,5,0,669,0,0
2343,64.5,1,420,1789,0,20,3704,995,2,3,9,16,1090,11,3.0,5,0,636,0,0
2991,61.0,2,14,4126,0,154,5570,1073,3,13,35,44,1093,13,2.0,6,1,587,0,0
2903,69.5,3,235,1406,0,93,3874,931,324,290,8,15,1119,9,1.0,4,0,200,0,0
109,56.4,2,6,1721,1,1,4242,1093,157,16,18,18,1019,26,0.0,3,1,921,0,0
23,56.5,0,8,2794,0,2,4063,937,72,2,14,9,1084,28,0.0,4,1,200,1,1
3269,52.8,5,7,1374,2,12,4119,1106,281,89,10,22,1073,29,7.0,4,1,574,0,0
3143,72.1,12,11,1385,8,44,9227,966,4,16,28,29,1041,1,1.0,12,0,200,0,0
18,69.3,4,25,4015,0,14,3639,883,329,2,21,22,990,18,19.0,3,0,200,1,0
77,71.1,5,11,1504,2,0,10980,1175,49,1,8,5,1291,0,2.0,3,0,550,0,0
3099,64.0,2,7,1415,6,0,6376,1033,292,119,15,10,1120,10,0.0,4,1,615,0,0
46,64.6,0,12,5212,0,0,4143,940,3,7,7,15,1097,14,3.0,3,0,1031,0,0
3362,76.4,3,8,3086,0,103,6704,1049,8,33,15,10,1176,6,0.0,2,0,200,0,0
3087,77.8,11,408,7363,0,168,3725,916,330,154,7,17,1033,4,2.0,7,0,200,0,1
154,62.0,1,7,3445,0,2,7883,1048,100,226,5,27,1085,11,3.0,4,0,200,0,0
3003,65.6,7,9,1351,0,13,4130,992,108,112,6,12,1133,25,2.0,4,0,200,1,0
2831,85.8,5,13,4886,0,277,5272,1273,2,205,17,7,1435,3,1.0,2,0,200,0,0
172,78.4,0,260,1639,0,104,4307,1103,484,14,14,22,1240,16,1.0,5,0,839,0,0
125,71.4,0,9,1599,0,4,4629,1024,1,0,5,9,1141,3,1.0,2,0,200,0,0
90,78.9,0,13,4454,1,65,5342,1097,0,5,10,8,1199,3,0.0,3,0,200,0,0
2223,79.7,3,253,5450,0,3,6418,1135,0,8,24,15,1277,2,0.0,3,0,200,0,1
36,72.7,2,12,3405,0,59,10460,1067,8,2,26,45,1110,2,2.0,12,0,200,0,0
132,57.9,1,8,1415,0,0,5029,1004,306,17,17,15,1150,18,0.0,4,1,615,1,0
2388,69.5,2,10,1342,1,2,3837,970,2,5,7,23,1052,7,0.0,5,0,200,0,0
485,69.8,1,11,1681,1,8,8168,1148,5,13,207,252,1535,7,5.0,25,4,550,1,0
3352,85.5,5,16,1555,0,265,5303,1230,0,143,22,11,1424,2,2.0,4,0,371,0,0
2456,76.0,8,12,1541,3,78,4324,1048,0,6,9,10,1113,1,1.0,3,0,200,0,0
47,68.7,2,8,2599,0,3,4912,1076,72,7,15,18,1234,30,3.0,3,5,200,3,0
3039,64.0,6,7,2495,0,4,3920,863,5,119,9,12,924,24,3.0,4,5,200,0,0
21,82.6,0,12,2024,0,84,7879,1143,37,1,13,10,1188,4,1.0,3,0,200,0,0
3222,70.6,0,188,3238,0,9,4170,998,4,7,55,15,1141,10,1.0,3,0,688,0,0
2947,79.1,7,13,1531,1,180,4277,1118,3,5,5,19,1236,8,1.0,2,1,200,0,0
229,74.0,2,8,2118,1,52,9415,1195,8,11,8,9,1199,6,2.0,3,0,200,0,0
433,66.0,1,6,1743,1,10,3799,936,410,12,10,16,1061,23,0.0,5,1,550,1,0
3175,69.1,2,14,2567,1,40,10390,1045,4,447,18,42,1085,7,3.0,13,1,200,0,0
2818,72.3,1,15,1355,0,49,11650,1143,5,379,36,38,1266,5,2.0,15,0,200,2,0
3581,56.7,4,33,1478,0,6,3162,677,72,417,31,13,716,31,2.0,9,6,200,65,0
3211,81.0,2,253,2696,0,0,6722,1190,0,61,24,15,1400,2,0.0,3,0,200,0,0
79,78.5,6,74,4628,0,173,5051,1108,479,2,12,18,1274,4,3.0,4,0,200,0,0
4002,58.7,3,12,1360,1,64,3406,802,94,5,32,16,966,24,1.0,5,6,200,196,0
146,72.6,0,13,1721,1,22,5899,961,158,16,21,17,1106,9,4.0,5,1,921,1,0
3554,76.2,2,56,2901,0,23,3383,1104,0,60,11,7,1031,4,0.0,3,0,391,0,0
2302,87.2,1,79,1000,0,130,5556,1116,1,6,23,12,1295,3,0.0,4,0,200,0,0
34,73.5,2,10,4257,0,41,9815,988,4,0,34,31,1032,4,0.0,10,0,200,0,0
3451,62.8,0,9,3524,0,2,4673,936,8,4,16,16,1072,23,3.0,3,0,624,0,0
2732,60.7,2,8,3461,0,1,3870,906,4,0,9,17,1034,19,2.0,3,0,200,0,0
2620,75.9,7,11,1345,0,39,4211,1050,1,145,20,9,1156,3,2.0,5,0,200,0,0
2925,68.8,2,9,8076,0,94,4466,1114,695,190,22,36,1274,16,2.0,4,0,200,1,0
38,62.6,0,8,1361,2,19,4539,1032,454,0,29,35,1251,25,3.0,5,0,200,0,0
3182,73.2,2,14,2077,0,36,7041,1038,51,106,7,13,1165,7,1.0,5,1,550,0,0
269,61.8,2,12,2181,2,22,7083,975,2,4,25,20,1089,9,5.0,5,0,200,0,0
2852,48.8,5,13,1179,5,8,5552,1022,7,1,86,129,1197,1,1.0,31,2,200,0,0
46,66.7,1,5,2785,0,10,3739,895,6,5,11,17,912,22,2.0,3,4,200,0,0
3415,74.2,7,10,2753,0,11,5136,1224,0,105,17,7,1289,0,0.0,2,0,200,0,0
53,79.2,2,14,2740,0,223,5449,1225,3,5,10,22,1355,6,2.0,4,2,200,0,0
3453,61.5,3,13,1650,0,33,9888,1007,7,108,34,55,1072,9,1.0,12,1,200,2,0
3629,36.0,0,1,3947,0,0,1360,253,7,112,13,40,21,5,2.0,4,0,200,0,0
2651,66.6,0,11,2071,0,0,4164,990,1,2,8,16,1090,4,2.0,5,0,200,0,0
3621,71.1,2,12,4501,0,0,4790,1007,1,4,5,12,1133,4,2.0,3,0,200,0,0
14,82.9,10,19,1695,0,135,7451,1163,12,184,20,60,1205,6,3.0,7,10,200,1,0
2834,71.0,5,9,3270,0,1,7583,1157,43,134,25,8,1219,4,0.0,2,0,200,0,0
23,64.8,12,6,1679,0,4,3987,872,5,5,15,17,930,23,2.0,5,5,200,0,0
2116,80.2,2,275,6660,0,0,7126,1188,0,4,25,17,1227,2,2.0,5,0,200,0,0
3395,78.3,1,10,4014,0,0,3745,912,0,12,6,5,999,5,1.0,2,0,438,2,0
5,82.2,1,11,2006,0,245,4429,1103,0,148,19,11,1220,2,2.0,4,0,200,0,0
3297,77.6,5,342,1287,3,130,4848,1007,209,96,12,23,1126,3,12.0,5,0,487,0,1
2464,77.0,2,248,6557,0,2,6357,1209,0,3,78,18,1436,3,0.0,4,0,200,0,0
19,73.0,0,12,1000,0,70,9505,1021,9,2,34,36,1159,0,8.0,9,1,200,0,0
2905,81.4,1,14,1725,2,128,4396,1083,0,45,23,14,1198,0,1.0,3,0,200,0,0
2651,67.8,1,12,2775,0,0,4624,999,3,3,10,14,1163,4,2.0,4,0,200,0,0
3382,72.5,1,25,4159,0,1,4550,991,1,123,15,7,1094,3,2.0,3,0,480,0,0
3262,54.0,4,8,4029,0,0,3792,904,5,130,12,26,1023,25,2.0,3,0,200,0,1
306,70.0,0,8,1891,0,29,4839,943,0,10,9,14,1073,3,2.0,3,0,200,0,0
3196,81.5,0,13,6780,0,258,4825,1293,0,108,21,21,1508,4,3.0,4,0,5800,0,0
344,76.0,5,11,7241,0,186,4104,1147,712,0,4,26,1275,7,0.0,3,0,200,0,0
3518,58.1,7,6,1891,0,0,4454,997,3,78,14,14,1135,24,4.0,4,0,200,0,0
2557,70.2,1,14,2470,0,1,4441,1047,2,2,6,14,1178,4,1.0,4,0,200,0,0
31,83.0,0,10,1382,2,240,5433,1227,2,4,21,15,1316,4,0.0,4,0,200,0,0
3022,68.8,3,11,3320,0,190,5783,1148,5,0,16,45,1236,35,2.0,9,1,200,1,0
3208,74.5,4,11,1891,0,82,5832,1055,0,75,23,15,1122,2,1.0,4,0,200,0,0
15,71.3,2,9,4240,0,4,10940,1119,15,4,13,6,1241,4,3.0,2,0,200,0,1
131,79.6,1,211,2775,0,84,4412,1009,349,11,17,17,1094,15,7.0,4,1,200,0,1
3345,58.5,2,5,7050,0,0,4657,964,7,40,14,20,1113,25,3.0,4,1,200,0,0
51,70.5,5,69,2101,0,175,5255,1355,21,161,46,61,1463,19,7.0,5,20,605,0,0
2966,66.7,10,7,2122,0,9,3868,1060,406,110,16,21,1213,23,9.0,4,1,200,1,0
2835,45.3,3,14,2050,0,13,7314,850,7,177,17,17,1005,26,3.0,7,1,200,2,0
2988,82.5,10,13,4128,0,258,5151,1264,0,38,22,23,1471,4,4.0,4,0,200,1,0
2434,68.3,2,10,3747,0,66,8794,997,523,52,5,17,1169,7,2.0,3,0,200,0,0
2596,66.4,2,10,1714,0,1,4117,799,0,4,7,13,1018,2,2.0,3,0,550,0,0
3203,83.2,6,13,2096,0,224,4826,1196,17,136,16,17,1381,8,1.0,4,0,200,0,0
3269,60.8,4,8,1171,3,60,4395,1044,8,10,28,33,1074,20,2.0,4,2,200,0,0
2597,72.1,3,196,2033,0,36,2812,863,1,71,8,11,1024,10,0.0,6,0,498,0,0
13,69.3,1,10,2041,0,76,8226,1136,3,164,11,21,1320,10,3.0,3,1,510,0,0
30,77.1,2,54,2757,0,94,8681,702,4,155,3,23,839,8,2.0,7,2,200,4,0
149,31.1,11,0,1711,0,0,1425,248,8,115,9,14,27,4,0.0,5,0,523,0,0
2007,73.1,3,10,6543,0,139,5628,1204,5,4,13,25,1341,14,4.0,3,3,200,0,0
3064,71.0,5,10,3277,0,22,4635,1114,0,13,20,11,1129,2,1.0,2,0,200,0,0
86,57.1,2,7,2081,0,10,4660,998,60,6,16,14,1080,24,0.0,4,1,550,1,0
3356,72.6,1,55,2879,0,2,4823,1044,0,3,11,10,1170,5,2.0,3,0,560,0,0
3363,75.3,1,19,3726,0,0,4143,1106,0,3,7,8,1150,4,0.0,2,0,200,3,0
45,79.2,0,13,1000,0,210,4508,1229,0,0,21,20,1410,4,3.0,4,0,200,0,0
301,75.6,1,227,7250,0,111,5510,1047,449,36,9,23,1170,11,6.0,5,0,200,0,0
48,71.6,0,13,4593,0,14,4608,1008,0,0,14,9,1145,5,0.0,3,0,200,0,0
3343,93.4,3,52,1812,0,43,3692,899,6,0,309,21,1037,2,0.0,21,0,352,0,0
2955,72.4,4,209,3095,0,11,5655,1054,90,120,17,14,1164,3,0.0,3,0,200,0,0
3133,68.2,2,18,2377,0,315,7846,1966,2,348,26,36,2088,11,4.0,5,0,200,0,0
2586,71.6,0,9,3796,0,5,4102,1021,0,3,10,8,1120,3,2.0,3,0,200,0,0
6,73.7,11,11,1357,1,127,5133,1090,4,1,12,16,1238,14,3.0,3,3,200,0,0
82,75.5,0,8,4458,0,138,5401,1218,158,4,21,18,1338,16,2.0,3,3,200,0,0
50,81.1,3,8,5192,0,174,4683,1128,2,3,20,11,1273,9,0.0,4,0,200,0,0
2349,72.9,3,9,3128,0,14,4520,1011,0,185,14,11,1093,2,1.0,3,0,200,0,0
101,68.2,0,248,5550,0,0,7863,1275,24,7,20,37,1410,13,0.0,7,12,200,1,0
1486,67.8,2,11,1156,0,28,7766,797,3,66,63,32,826,5,2.0,10,0,356,0,0
3076,66.1,8,6,1901,0,5,5716,1053,61,128,1,7,1203,4,6.0,0,0,200,0,0
5,54.4,3,171,2410,0,1,6271,1364,35,203,29,58,1385,34,13.0,6,19,200,1,0
3067,70.6,9,10,2406,0,24,5571,1007,65,101,14,12,1190,12,1.0,5,0,200,0,0
2479,85.1,3,22,1562,3,182,4815,1332,399,8,10,10,1372,3,1.0,3,0,762,0,0
2230,79.7,2,102,7084,1,25,7005,986,0,5,22,22,1082,2,2.0,8,0,200,0,0
73,69.5,1,6,2395,0,2,6124,987,18,4,18,15,1085,13,3.0,3,0,200,0,0
2880,71.7,1,207,4274,0,84,3996,1003,568,2,6,28,1161,16,4.0,5,0,622,0,0
150,77.3,1,272,1353,0,2,6881,1190,0,18,29,29,1310,2,2.0,4,0,553,1,0
2602,96.4,6,279,1171,3,99,7006,799,8,2,8,7,889,3,2.0,5,0,371,1,0
72,62.7,0,8,1597,0,6,4528,1033,516,10,19,28,1196,28,18.0,4,1,200,2,0
100,78.4,0,12,1373,0,216,4185,1205,1,0,11,23,1342,7,0.0,3,2,200,0,0
3225,70.5,1,11,1695,0,0,4102,985,1,2,5,12,1066,8,1.0,3,0,900,0,0
111,74.2,1,12,1702,0,118,4362,1168,206,16,15,17,1348,18,2.0,3,3,200,1,0
67,79.1,0,52,2029,0,2,4457,940,1,182,8,9,1106,5,0.0,6,0,506,0,0
3515,84.2,6,15,3796,0,248,4666,1246,1,114,24,20,1340,2,2.0,3,0,200,0,0
51,74.2,2,8,2571,1,1,6150,1094,257,3,7,12,1248,7,2.0,4,0,550,1,0
11,72.0,1,9,2481,0,137,4745,1094,4,159,14,23,1192,10,3.0,4,2,200,0,0
3510,57.0,2,7,3884,0,2,3965,915,5,433,9,15,1064,28,2.0,3,0,200,0,0
115,79.8,1,13,1541,0,243,4909,1207,1,15,17,21,1369,3,2.0,4,0,200,0,0
120,80.4,21,15,2799,0,256,5201,1221,0,14,22,12,1299,0,2.0,4,0,200,0,0
3312,68.5,0,12,3453,0,115,4905,1089,5,3,15,53,1140,9,2.0,6,1,200,0,0
3223,80.5,2,9,3772,0,43,4411,996,0,419,10,9,1125,0,0.0,2,0,200,0,0
2,69.4,0,241,3807,0,95,3395,845,237,192,13,21,957,8,2.0,5,0,200,0,0
253,38.2,0,0,3392,0,0,1236,295,8,7,23,83,32,3,0.0,2,1,200,0,0
55,72.6,0,15,4476,0,173,5189,1121,2,1,20,32,1252,2,1.0,4,0,994,0,0
145,58.8,1,8,1758,1,15,5287,981,369,4,6,19,1141,18,1.0,7,0,550,1,0
2741,56.6,8,12,1189,6,67,3267,777,75,5,53,11,814,28,0.0,4,6,389,137,0
3011,67.8,4,10,3607,0,130,5227,1154,2,168,18,21,1305,14,4.0,4,0,200,0,0
188,52.0,323,10,3292,2,0,4256,886,7,6,23,36,996,22,2.0,4,0,608,0,1
3315,57.7,0,8,7050,0,0,4390,1033,4,104,29,19,1131,24,4.0,4,0,200,1,0
2329,75.4,3,40,7140,0,146,5875,1107,4,2,24,33,1268,5,1.0,4,2,375,1,0
3084,72.2,5,8,5960,0,2,3904,876,0,8,9,8,972,2,2.0,3,0,610,0,0
47,83.1,0,21,1753,0,246,4461,1166,0,1,19,10,1249,0,2.0,3,0,200,0,0
2523,57.7,4,6,1599,0,2,4145,899,4,2,62,14,1068,27,3.0,3,0,200,0,0
1083,58.8,1,814,1388,0,37,3020,996,2,1,12,15,1058,26,1.0,7,0,588,1,0
2492,62.2,10,9,1194,6,24,7798,977,3,2,29,52,1107,17,3.0,6,1,394,0,0
53,58.6,3,6,1972,0,6,4598,1034,7,11,20,15,1191,25,4.0,5,1,200,0,1
3653,77.6,2,10,1305,0,1,4728,1102,0,13,5,5,1163,1,1.0,2,0,505,0,0
3098,84.1,10,11,2398,0,267,4938,1175,1,153,31,11,1307,3,0.0,3,0,200,0,0
58,70.1,962,141,1725,5,6,4086,1021,0,0,9,11,1063,8,1.0,3,0,200,0,1
