CA,ANONYMOUS_1,AL,PQINDEX,P,FE,V40,ZN,B,S,SI,MO,NA,CU,ANONYMOUS_2,BA,MG,K,CR,MN,Y_LABEL
78,3454,0,50,187,33,134.1,22,6,12360,0,0,0,0,200,0,0,0.0,0,0,0
70,2236,0,34,276,84,146.2,32,1,19350,5,0,2,4,200,0,2,2.0,0,0,0
63,2351,1,258,1095,252,70.8,1314,139,10710,21,6,29,8,200,0,9,2.0,4,10,0
113,2470,1,100,1307,79,114.5,1522,0,7055,57,0,1,11,200,0,12,0.0,0,0,0
3195,1399,2,4126,1294,369,57.0,1618,2,4178,9,3,20,58,200,0,12,2.0,1,33,0
3182,1591,4,106,263,93,149.0,19,134,27400,15,0,1,0,200,0,6,0.0,0,2,0
3017,1308,9,46,2040,110,129.6,7,6,25840,0,7,3,2,200,4,1,0.0,0,0,0
3322,1214,3,2056,804,114,132.3,14,16,19860,31,0,5,1,414,2,6,1.0,1,2,0
2792,1907,5,310,2425,167,151.4,14,154,27630,8,1,3,4,200,0,0,4.0,2,4,0
3431,1726,6,282,874,453,129.8,36,411,18360,5,0,2,47,375,0,0,2.0,6,5,0
299,4878,0,373,253,76,138.4,3,49,23830,3,0,0,0,200,0,0,0.0,0,0,0
557,5617,1,124,454,87,137.0,17,75,24890,0,0,2,1,200,0,0,0.0,0,0,0
117,2010,2,104,1070,64,125.2,28,18,18390,4,2,2,4,200,0,5,0.0,0,1,0
2165,1746,4,72,2707,161,134.5,3,7,34820,0,2,0,0,270,1,0,0.0,0,0,1
10,3164,1,243,208,498,140.8,85,3,5483,9,0,2,134,200,0,1,0.0,9,7,0
2721,5568,3,19,691,150,139.4,11,75,18880,1,0,2,0,200,0,3,15.0,0,3,1
4024,4980,3,18,2141,42,128.5,28,572,28700,2,2,0,34,200,0,0,2.0,0,0,0
2300,1519,4,240,2174,176,169.4,114,45,26460,14,4,6,5,200,0,6,0.0,2,2,0
173,1326,3,6,1166,16,127.0,16,7,21600,0,0,0,3,316,3,1,0.0,0,0,0
54,6217,0,78,397,16,146.9,24,1,24160,3,0,0,0,200,0,2,1.0,0,0,0
2118,3103,4,13,250,29,183.4,39,84,12970,2,0,0,0,200,0,1,0.0,0,0,0
105,3095,0,156,876,252,128.5,24,8,17050,4,0,4,26,200,0,0,0.0,4,4,0
45,1392,1,278,990,172,118.4,5,1,20230,63,0,5,2,200,15,2,6.0,4,2,0
192,5192,2,62,235,45,139.0,9,13,21010,1,0,0,3,200,0,0,2.0,0,1,0
5,3132,0,224,306,188,126.3,18,15,21790,39,0,2,0,200,0,5,2.0,2,2,0
10,1714,8,30,1934,381,140.0,46,178,27250,2,0,4,1,200,1,0,0.0,2,6,0
2786,2047,3,203,333,95,142.5,25,110,26550,8,0,2,0,200,0,1,1.0,0,0,0
147,1698,0,2948,975,1843,135.4,10,16,21380,1134,2,10,5,898,0,5,84.0,27,19,0
3298,1336,3,503,1058,897,71.4,1326,2,8549,29,17,11,13,536,0,9,1.0,8,11,0
138,2378,1,981,961,88,130.0,13,19,19160,4,0,1,4,200,1,0,8.0,1,1,0
6,4448,1,65,1029,296,126.0,31,187,19520,19,2,2,1,200,0,2,3.0,3,3,0
192,3198,364,112,1127,219,148.2,17,6,31820,3,0,0,6,200,3,0,2.0,3,2,1
3466,3837,2,55,284,51,154.9,20,47,10600,1,0,0,1,608,0,0,0.0,0,0,0
35,3172,0,362,1312,46,131.7,27,3,20860,1,2,1,0,200,0,0,0.0,0,0,0
3252,1695,2,15,196,8,119.6,67,1,4933,1,0,0,2,200,0,2,1.0,0,0,0
2434,3747,2,132,917,109,65.0,1120,49,5977,7,8,4,6,200,0,9,1.0,0,1,0
118,3851,6,162,1047,417,57.4,1131,10,7985,13,8,0,48,3051,0,12,0.0,3,7,0
2771,9832,4,50,2390,60,182.4,24,89,38390,2,0,0,1,200,0,1,1.0,0,0,1
115,3794,527,1642,170,1359,145.0,35,2,15390,776,2,5,7,690,4,9,27.0,22,17,1
2169,2304,4,27,261,74,168.2,9,5,11110,1,0,0,3,200,0,0,0.0,1,0,0
314,3141,135,2789,182,927,132.9,104,33,13950,446,3,3,2,246,0,5,13.0,6,6,1
9,1806,3,308,252,63,151.6,15,3,16190,0,0,0,0,200,0,0,0.0,0,0,0
3330,10431,3,1040,1164,484,127.1,11,440,20660,79,0,4,4,200,0,3,2.0,6,5,0
3562,2799,2,72,442,232,138.9,133,449,15450,2,0,2,200,200,0,1,7.0,5,5,0
26,5617,0,92,592,100,138.1,56,2,21860,4,0,1,0,200,0,9,0.0,2,1,0
8,1386,0,148,287,146,135.5,156,67,17690,3,0,2,72,200,0,0,0.0,3,2,0
3414,2827,1,26,1115,13,110.8,513,3,8298,52,0,0,0,200,0,8,0.0,0,0,0
21,1718,1,182,271,127,145.5,9,160,18830,12,0,2,0,200,0,0,0.0,2,1,0
6,2160,0,47,808,16,137.3,12,182,23280,2,0,3,2,200,0,2,0.0,0,0,0
147,1399,0,603,1004,144,125.8,24,18,14130,8,0,0,3,599,0,0,0.0,2,1,0
2958,2118,5,344,1095,665,71.5,1363,174,8192,31,15,8,14,200,0,9,0.0,6,9,0
57,2067,1,2131,1053,786,61.4,986,2,6755,5,1,4,44,200,0,4,2.0,9,13,0
51,4903,0,135,244,36,159.6,45,11,21200,2,0,1,0,200,0,32,1.0,0,0,0
183,2397,8,4647,1168,976,125.8,139,3,20630,700,3,4,169,200,0,8,40.0,18,14,1
3261,3452,4,53,211,97,136.6,72,194,5738,7,0,1,36,200,0,0,3.0,2,2,0
1141,1189,5,213,180,352,153.8,231,2,6722,3,0,0,360,200,2,0,0.0,7,5,0
17,1688,5,48,2201,81,136.2,60,6,24010,6,7,2,4,200,0,2,0.0,0,3,0
23,6859,0,338,474,167,151.0,29,0,26000,3,0,0,37,5800,0,1,0.0,4,3,0
68,2400,0,112,522,101,124.1,98,3,20870,13,10,3,0,1600,0,4,2.0,0,0,0
229,1772,2,22,229,128,173.7,36,23,20320,2,0,0,5,200,0,0,0.0,1,1,0
3240,1410,4,648,1139,499,66.1,1433,119,3193,21,0,21,147,610,0,12,3.0,3,62,0
2916,2803,4,221,2407,178,135.0,109,108,33710,3,2,7,3,200,0,1,1.0,2,3,0
64,2530,0,75,2317,40,133.7,15,5,33030,0,0,0,0,585,0,1,1.0,0,0,0
3020,1000,5,8889,1144,260,129.9,13,133,18300,10,0,1,10,200,0,2,2.0,3,4,0
173,6860,32,99,142,76,151.9,14,14,11740,3,0,2,0,200,6,2,0.0,0,1,1
2968,2654,3,183,1153,66,124.7,21,453,21140,1,0,0,1,200,0,0,0.0,1,0,0
2727,1359,5,2760,588,161,130.4,11,193,13470,2,0,3,0,200,0,0,0.0,3,1,0
75,3794,745,4500,116,1348,156.0,15,0,14800,767,2,7,8,690,7,15,56.0,30,25,1
167,1758,1,1567,2446,346,142.8,96,6,27770,2,7,3,6,550,2,0,0.0,2,5,0
2570,1350,4,304,180,471,150.9,114,0,4582,13,1,2,160,200,0,0,2.0,11,9,0
44,5284,6,299,1030,109,148.6,29,0,30080,6,0,2,0,200,0,3,0.0,2,1,1
0,1322,3,6,338,24,137.7,22,3,19900,4,0,0,2,200,0,4,0.0,0,0,0
112,1389,0,327,236,446,142.1,8,16,15280,79,0,4,1,589,0,8,2.0,4,4,0
21,1348,6,72,252,138,134.9,88,3,13770,22,1,2,150,548,6,0,0.0,3,6,0
3396,1604,2,6592,1010,1656,135.9,38,2,20370,1102,6,26,4,725,0,22,67.0,11,16,0
226,3086,0,27,2589,155,138.9,139,37,29640,15,16,8,6,200,0,2,2.0,3,2,0
73,3333,88,646,1231,934,69.8,1513,2,9320,40,15,9,18,200,0,12,0.0,9,10,1
3699,3249,0,111,753,109,125.6,89,140,15330,3,6,1,6,200,4,0,0.0,0,1,0
3460,1349,2,318,251,531,143.4,37,248,19400,5,0,0,50,375,0,0,0.0,6,6,0
82,6331,0,11,270,15,125.7,12,4,20380,35,0,0,6,200,0,0,2.0,0,0,0
18,1366,3,31,790,17,110.9,534,2,14130,3,0,8,4,566,4,6,1.0,0,2,0
27,1732,1,59,276,132,145.0,25,129,23500,8,0,0,17,200,1,0,0.0,2,2,1
3442,2879,2,101,1224,34,109.7,1246,96,5631,47,0,10,7,560,0,11,0.0,0,1,0
9,1361,4,1776,1039,669,70.8,1225,2,8775,28,5,30,70,550,1,9,2.0,3,27,0
93,3146,2,32,552,69,132.3,42,11,20150,0,0,3,18,2346,0,0,0.0,0,0,0
2492,1185,4,310,583,76,139.3,18,5,20660,1,0,0,0,385,2,1,0.0,0,0,0
155,1339,0,212,1420,193,134.6,38,20,17130,20,0,7,0,539,0,2,5.0,2,5,0
2683,1718,3,157,461,129,139.8,62,117,12980,5,1,2,65,200,0,0,0.0,5,4,0
146,1697,0,705,318,162,126.3,16,0,21190,12,0,0,0,897,0,0,0.0,2,3,0
3415,2435,4,11,281,32,145.1,11,141,20020,8,0,1,3,200,0,4,0.0,0,0,0
3297,5171,3,47,921,37,63.5,969,14,3972,6,5,2,19,200,0,9,2.0,0,0,0
58,2425,51,373,435,114,140.0,10,0,15540,2,0,8,0,200,0,1,2.0,0,2,1
34,2497,3,97,806,136,159.9,38,26,25460,2,0,1,41,200,0,3,1.0,2,2,0
3085,8926,0,15181,1023,1980,57.8,1229,94,3278,14,12,15,181,200,0,12,3.0,4,46,0
3235,4214,0,110,197,90,144.2,108,100,17990,5,2,2,15,550,0,0,0.0,0,2,0
89,1389,2,75,2423,110,143.6,54,7,31430,4,4,5,0,200,3,0,2.0,1,6,0
6,2465,1,165,261,568,139.3,11,0,25120,206,0,9,3,615,0,78,3.0,19,5,0
124,1423,0,142,881,261,132.4,61,3,19420,4,0,4,64,623,0,2,3.0,4,4,0
86,7040,0,2,620,94,132.4,62,2,21960,1,0,1,14,200,0,0,2.0,1,1,1
3828,2859,9,6681,1849,4406,148.4,505,130,21370,3004,18,7,752,200,0,16,51.0,40,50,0
3277,1962,6,579,565,61,135.3,7,108,20790,3,0,0,0,200,0,2,0.0,0,0,0
3086,5063,0,84,993,30,126.5,4,1,22010,0,0,0,2,413,0,0,0.0,0,0,0
18,1428,2,720,911,167,123.9,120,4,15290,10,17,5,7,628,3,6,1.0,5,4,1
3212,6748,3,118,243,137,190.4,26,400,9621,17,0,2,1,200,0,0,1.0,1,0,0
221,1712,0,175,1099,73,109.8,1327,2,5851,55,0,1,6,912,0,12,2.0,0,1,0
290,2394,0,76,1082,57,109.8,1018,3,10030,72,0,3,232,200,0,11,2.0,0,0,0
3243,1343,2,3168,341,1835,142.4,17,370,20710,1088,1,15,5,200,0,9,40.0,21,16,0
167,1969,0,611,255,855,184.9,76,16,5658,149,0,9,3,200,0,3,5.0,22,11,0
357,1692,2,723,906,362,143.9,22,15,24020,408,0,16,2,892,0,17,24.0,5,7,0
453,2944,0,76,920,131,127.1,31,7,19400,2,0,2,46,200,2,0,0.0,2,2,0
126,3912,39,27,280,53,194.4,74,4,8319,2,0,0,2,662,0,0,0.0,1,0,0
1236,1677,5,10,2620,37,141.6,17,28,39360,1,4,3,2,200,0,2,1.0,0,0,0
2769,1905,11,65,197,109,156.3,24,219,10430,4,0,0,4,200,0,0,0.0,0,1,0
144,1386,2,23,942,40,123.8,19,17,19160,1,0,1,16,586,0,1,1.0,0,0,0
27,4560,0,18,740,64,127.9,43,190,13910,3,1,3,42,200,0,3,0.0,0,1,0
3301,2901,2,105,584,121,139.6,13,2,27090,60,0,1,0,200,0,0,4.0,1,1,0
50,6331,0,76,423,25,141.0,15,2,27200,1,0,0,0,631,0,14,0.0,0,0,0
106,3914,2,48,388,175,135.3,15,3,20460,4,0,0,12,200,0,1,2.0,3,3,0
22,4868,236,7979,1073,977,126.1,124,142,19950,632,3,8,185,200,1,19,34.0,13,12,1
390,1532,0,28,282,42,202.0,54,14,12180,3,0,0,92,200,1,0,0.0,0,1,0
147,1154,0,186,1726,128,131.2,23,23,27170,5,0,4,0,354,0,0,0.0,1,2,0
3835,1897,5,74,595,27,143.2,48,136,29630,3,2,0,0,200,0,2,2.0,0,0,0
2842,1157,2,836,171,62,132.2,15,5,7883,8,0,4,0,357,3,2,2.0,1,2,0
3857,2324,6,136,849,61,132.7,40,156,16860,3,5,2,0,200,0,12,0.0,1,1,0
2521,1858,9,683,270,1126,141.3,34,185,12630,484,0,24,4,200,1,108,9.0,35,10,1
4521,2250,98,72,410,35,145.1,12,24,20980,6,0,0,0,200,1,21,0.0,0,0,1
3261,1683,5,524,1078,244,57.6,1317,120,3768,11,5,19,3,200,0,10,2.0,3,5,0
3077,6747,2,61,298,44,145.5,7,1,20190,12,0,0,0,697,0,2,0.0,0,0,0
156,1716,1,74,1034,63,138.1,20,0,24640,14,2,1,0,916,0,0,3.0,0,0,0
31,3958,2,347,567,84,145.4,24,193,14140,3,0,1,0,200,0,6,0.0,0,1,0
21,12713,20,1368,2752,236,140.3,116,5,28436,12,1,2,6,200,0,0,0.0,3,3,0
9,1725,2,286,204,145,148.2,24,0,21430,4,1,2,1,200,0,7,1.0,1,2,0
105,5309,2,7165,813,1899,141.9,307,13,17670,1502,3,10,485,200,0,17,34.0,35,41,0
189,8737,1,278,233,205,193.7,46,21,9730,13,0,1,0,200,0,3,2.0,1,1,0
921,1701,0,35,2148,28,163.5,391,31,19530,18,0,7,0,901,0,4,0.0,0,0,0
161,1000,0,113,607,76,139.5,24,15,26500,3,0,0,2,200,0,4,2.0,0,0,0
27,1387,3,208,2038,337,148.6,13,0,31670,2,8,2,10,200,0,3,0.0,2,3,0
15,1396,1,812,2146,402,130.4,23,1,26120,2,0,2,0,596,4,0,0.0,1,3,0
271,4776,4,310,1883,787,124.4,43,1,28310,6,0,2,2,200,1,2,8.0,2,9,1
39,3918,70,121,913,87,142.3,29,30,20940,9,0,1,0,200,2,0,4.0,1,1,1
2393,1558,2,146,935,61,133.6,12,2,21190,13,0,2,0,408,1,2,1.0,0,0,0
15,5621,2,1295,1019,651,127.3,48,28,18750,270,5,6,2,200,0,18,10.0,9,7,0
3442,1461,2,64,1064,76,50.2,1360,115,5888,35,2,3,3,661,0,9,1.0,1,2,0
66,2443,488,169,334,307,133.9,84,152,13040,6,0,7,126,200,4,4,8.0,5,5,1
15,3476,42,171,737,62,113.5,141,140,17550,6,1,7,2,200,0,2,2.0,0,0,1
3025,1988,6,412,1093,435,70.0,1396,124,8900,25,7,9,8,200,0,8,2.0,4,5,0
2436,1207,9,130,976,53,61.2,990,1,4297,4,2,0,34,407,3,6,0.0,0,0,0
24,2150,0,932,989,1042,69.5,944,0,10240,27,10,24,161,200,0,9,3.0,6,33,0
10,1315,6,116,322,293,142.6,68,0,15430,6,0,1,98,515,0,1,0.0,7,5,0
3575,4581,2,72,2438,314,141.0,55,6,31710,10,50,4,8,200,0,2,0.0,3,4,0
440,2415,4,292,1382,75,132.1,14,0,22150,5,0,0,0,550,0,0,0.0,2,0,0
122,1721,1,206,983,63,93.6,1227,45,4854,36,0,7,1,526,0,10,2.0,1,1,0
2738,1205,7,674,2172,154,143.2,32,32,24200,8,2,2,4,200,6,4,0.0,5,2,0
126,1708,0,17,1341,31,179.8,276,0,19320,7,0,2,29,1600,0,6,2.0,0,1,0
147,1355,1,4471,2143,378,149.9,46,18,25422,71,1,12,25,555,0,6,6.0,9,9,0
3279,1567,3,238,373,191,151.1,65,455,20270,3,0,0,41,200,0,34,0.0,4,3,0
2934,1692,6,789,301,404,134.3,150,9,9745,7,0,1,242,375,1,3,1.0,5,7,0
120,2929,1,200,2686,946,141.4,18,14,40500,5,3,4,3,200,0,3,0.0,2,7,0
16,4400,490,4839,1895,443,141.8,58,128,25150,86,0,10,38,200,3,12,7.0,3,10,1
3244,1366,1,42,2200,103,129.2,16,104,28770,0,2,1,1,200,2,0,0.0,1,1,0
25,2034,0,27,1204,24,55.0,1399,9,3081,11,0,23,2,529,0,10,2.0,0,9,0
57,4302,2,39,223,80,163.7,29,3,19510,2,1,0,5,200,0,0,1.0,0,1,0
43,2034,81,108,634,468,132.8,30,108,20620,6,0,6,10,200,1,0,0.0,3,4,1
3440,2419,2,125,1048,169,218.4,29,8,22890,4,2,1,13,355,0,1,1.0,3,3,0
227,2369,2,12,914,14,132.6,123,13,20030,2,20,2,3,1569,0,0,0.0,0,0,0
16,4941,0,181,1053,173,128.5,29,7,19840,9,1,4,1,200,0,4,2.0,2,2,0
128,3604,3,150,716,65,156.0,8,185,26280,5,0,1,0,200,0,2,1.0,0,0,0
758,7349,16,66,2665,118,144.6,26,42,27260,2,0,2,15,200,0,1,4.0,1,1,0
3046,1363,4,65,2255,93,145.1,18,2,29260,0,0,2,32,200,0,2,0.0,0,1,0
137,1357,0,439,259,235,185.1,31,17,7217,5,0,4,0,557,0,1,0.0,4,4,0
2565,1373,2,206,1097,143,47.2,1186,17,3252,11,7,4,4,573,1,4,0.0,2,5,0
20,2449,1,1275,1193,1206,125.5,95,185,18160,282,0,41,4,200,0,6,13.0,14,13,0
39,2138,32,1840,1143,336,121.0,39,70,16370,159,0,8,1,200,1,5,8.0,5,5,1
0,9097,0,24,554,31,150.1,28,1,26530,1,0,0,2,200,0,4,0.0,0,0,0
30,1737,6,2056,299,175,114.8,142,1,3861,2,0,1,196,601,0,2,0.0,4,4,0
15,3554,2,46,1052,56,135.2,18,2,17800,3,0,0,3,200,0,0,0.0,0,0,0
39,3226,0,164,303,177,155.4,29,0,18690,12,0,2,1,200,0,2,1.0,2,2,0
62,1000,0,36,1102,12,71.7,1362,2,10650,27,0,34,3,200,0,10,2.0,0,6,0
3203,2944,4,5089,915,2125,134.5,19,32,21820,444,0,11,5,375,0,1,30.0,20,16,0
2392,1366,7,5,900,5,136.1,19,142,20360,0,0,3,0,200,0,3,0.0,0,0,0
121,3099,0,352,1015,176,124.6,7,219,19310,9,0,0,2,200,0,1,2.0,1,1,0
24,1812,6,313,1066,337,126.5,18,2,23130,77,1,4,2,200,1,29,1.0,31,3,0
3236,1616,6,7328,1267,2580,126.5,281,227,22830,1477,7,5,421,355,0,28,22.0,21,30,0
134,1343,0,1026,2417,67,147.1,42,19,26260,3,4,2,0,200,0,0,3.0,1,1,0
66,1404,15,55,1031,213,134.4,180,0,14160,3,0,1,229,200,1,0,0.0,4,7,0
3157,1161,7,443,510,135,173.1,84,18,15510,8,0,2,0,375,3,2,4.0,8,5,0
3295,1795,1,77,1102,40,111.2,1287,108,4320,61,0,13,12,400,0,10,1.0,0,3,0
2853,1175,7,109,707,179,118.0,129,31,26010,19,13,2,1,375,4,4,4.0,1,1,0
3439,2918,3,352,748,406,138.3,206,385,29450,5,0,1,292,375,0,2,2.0,5,5,0
108,4319,3,57,117,160,65.9,88,76,9296,2,0,2,8,200,0,7,0.0,8,2,0
2863,7125,0,52,642,20,128.2,473,2,18980,14,0,36,3,200,0,14,2.0,0,0,1
58,2551,0,247,1095,187,141.4,39,63,26140,12,0,16,8,200,0,81,1.0,1,2,0
46,2638,0,350,495,143,136.0,25,2,29470,3,2,3,1,200,0,2,1.0,0,1,0
3349,1616,9,347,1082,436,137.3,10,71,23000,109,0,2,1,200,0,2,4.0,8,4,1
2187,2400,3,294,464,254,142.0,57,4,17360,4,0,0,53,375,0,1,1.0,3,3,0
3423,1735,2,163,1134,102,110.7,1256,119,4091,64,0,18,32,641,0,11,2.0,0,2,0
40,2697,1,190,1123,180,60.0,1415,23,3628,12,7,16,18,200,0,10,0.0,4,7,0
41,3526,3,1173,1010,102,150.8,18,1,28410,5,0,1,0,200,0,0,2.0,2,1,1
3224,8584,2,10,213,8,140.1,9,0,14030,2,0,0,0,200,0,3,2.0,0,0,0
4164,3244,2,40,1304,33,111.2,1216,141,4277,62,0,30,8,566,0,10,0.0,0,1,0
24,5923,1,73,1206,88,134.9,15,180,22300,0,0,0,15,200,0,0,0.0,0,0,0
2294,1667,0,258,693,58,144.2,19,16,25030,3,0,0,3,200,0,4,0.0,2,1,0
23,1723,0,47,476,60,151.3,7,3,24720,4,0,4,0,533,0,2,1.0,0,0,0
3218,2326,2,5,143,2,139.6,35,4,17990,0,0,0,0,382,0,0,0.0,0,0,0
94,1456,1,25,1674,18,131.1,8,11,28780,1,5,2,1,200,1,2,0.0,0,0,0
7,1696,2,63,1309,182,130.3,22,32,20210,8,0,0,29,200,6,1,0.0,6,3,0
3234,1361,2,6,838,243,136.0,55,112,31590,7,1,3,5,200,0,0,0.0,2,4,0
3849,1879,1,159,2482,282,141.4,55,1,29870,7,7,6,4,200,0,1,0.0,2,3,0
2884,1822,3,7,1606,52,128.5,62,16,21940,4,4,0,1,200,2,0,0.0,0,1,0
3988,1329,1,60,2231,81,134.5,90,7,34460,2,18,5,2,529,1,3,2.0,1,6,0
2977,1690,1,4867,1151,1332,71.5,1250,13,9293,37,14,34,166,546,0,8,2.0,6,51,0
3148,3625,3,1185,1188,202,111.1,1438,10,9416,43,1,2,21,377,0,8,0.0,1,4,0
184,4862,2,54,265,73,133.4,48,23,24460,4,0,0,10,200,0,1,2.0,0,0,0
34,3207,1,487,869,76,130.3,23,116,19930,24,0,2,0,200,0,0,0.0,3,1,0
3,6971,0,31,193,52,89.81,11,166,10320,3,0,2,1,200,0,1,0.0,0,0,0
7,2059,1,7512,285,655,143.9,17,177,23360,687,0,15,2,200,0,9,58.0,8,7,0
42,4801,1,1308,423,242,138.5,14,3,20590,8,0,1,2,200,0,2,1.0,2,2,0
3722,3881,2,841,354,206,160.9,142,505,18640,44,7,1,4,200,0,4,4.0,2,3,0
43,3067,6,1217,874,1647,159.2,66,179,29140,215,1,8,265,200,0,147,5.0,14,30,0
845,1738,4,93,646,53,140.3,64,16,26270,2,1,0,0,200,1,0,0.0,1,0,1
3095,3774,6,371,1896,2403,133.5,31,110,24150,19,28,5,5,200,0,0,0.0,10,18,0
16,3660,1,822,1205,916,71.2,1294,2,7422,31,14,15,150,200,0,8,1.0,4,112,0
2227,6713,2,75,2654,289,135.5,33,4,39690,2,4,7,0,200,0,0,2.0,1,3,0
54,7430,1,43,907,66,135.3,23,8,18940,2,0,2,8,200,0,0,2.0,2,0,0
3655,1415,5,353,886,1653,55.9,1017,14,4229,38,2,5,733,200,1,9,4.0,9,17,0
65,5879,2,9,491,43,134.7,15,0,30050,2,0,1,15,200,0,2,4.0,0,0,0
102,1686,4,170,238,223,156.2,64,12,17330,20,0,1,27,886,0,0,1.0,4,3,0
43,1360,2,5723,915,1674,133.7,9,150,21520,1207,2,6,6,385,0,18,23.0,17,22,0
3295,1695,2,39,1218,20,69.4,1178,0,10098,15,1,5,3,200,0,7,0.0,0,1,0
3183,2400,3,51,284,26,149.1,37,133,15070,1,1,0,8,200,0,2,0.0,0,0,0
117,1414,0,791,1730,1647,139.8,22,17,24320,23,72,0,8,200,0,0,0.0,15,15,0
3644,5207,3,86,880,124,116.3,1052,493,6626,34,3,2,9,200,0,10,0.0,0,3,0
7,1797,14,428,895,244,128.0,15,182,17940,4,0,1,16,200,7,0,1.0,3,3,0
3429,2407,9,4,1339,264,140.6,117,456,20110,2,0,3,10,200,0,7,2.0,3,3,0
145,2038,1,233,436,153,142.1,170,19,18690,10,6,3,1,200,1,3,1.0,2,2,0
31,8242,1,4750,904,1817,134.7,276,4,17380,2004,7,7,397,200,0,24,40.0,36,42,0
2506,1690,2,619,996,426,59.0,1152,5,8948,11,10,5,31,546,1,7,0.0,2,6,0
3698,1659,0,75,274,213,126.2,37,508,23260,11,0,2,41,332,0,1,1.0,3,2,0
14,3496,7,861,925,213,128.0,12,135,16120,63,0,3,1,200,0,0,0.0,2,3,0
3281,1355,1,5,1519,132,129.9,22,9,21450,0,1,2,1,555,1,0,0.0,0,2,0
131,1247,0,86,454,146,178.6,208,20,15350,4,5,2,32,447,0,5,5.0,3,3,0
2897,1725,2,285,197,75,146.6,21,113,13560,0,2,3,0,200,0,1,56.0,2,1,0
2987,2990,1,221,1089,208,71.5,1340,106,10460,26,4,33,11,455,0,10,2.0,3,9,0
39,3818,0,27,2015,93,138.1,84,4,26300,5,13,2,3,200,0,3,1.0,0,1,0
352,3245,5,78,1018,48,109.8,1343,9,5103,57,2,15,15,784,0,11,2.0,0,1,0
174,2113,3,830,376,973,137.3,20,180,15390,201,0,5,4,200,0,5,5.0,13,16,0
3132,1662,3,272,989,91,56.7,1250,416,3062,7,2,20,4,200,1,8,0.0,2,4,0
577,4458,0,20,2432,27,144.0,34,2,31160,1,4,2,6,200,0,0,0.0,0,0,0
2267,1177,3,687,398,60,140.5,10,4,13830,1,0,2,0,200,2,2,0.0,1,1,0
2269,2769,4,2685,1873,149,141.5,29,5,24530,40,0,5,3,200,0,2,4.0,2,3,0
60,2122,2,6978,1176,1083,126.0,69,170,20480,536,1,14,112,200,0,21,24.0,13,15,0
17,1718,7,443,332,246,141.7,54,89,21520,104,0,3,1,200,0,0,10.0,3,2,0
3475,7610,13,20,2096,424,130.6,196,185,25540,11,2,6,3,200,0,2,1.0,1,3,1
3457,2817,1,24,319,37,142.6,42,4,18620,1,0,0,2,477,0,3,0.0,0,0,0
3032,1614,9,784,748,116,136.0,18,106,17390,2,0,1,0,200,0,0,0.0,0,0,0
3304,2670,7,73,1035,72,126.0,10,90,20350,4,0,2,6,200,0,0,1.0,1,0,0
30,5075,0,586,938,556,123.4,5,157,16630,131,0,3,2,200,0,4,2.0,8,6,0
25,1810,2,911,1121,350,114.5,20,2,14530,54,0,4,0,200,2,2,2.0,4,5,0
3197,1368,3,177,713,164,102.9,22,139,21010,4,0,0,16,200,0,5,0.0,3,2,0
138,1650,0,37,1059,45,62.0,1221,17,4180,4,2,0,13,375,0,7,2.0,0,0,0
47,2118,0,271,501,80,140.0,21,3,16050,7,0,0,0,590,0,0,0.0,0,0,0
168,3124,29,183,969,796,62.9,754,4,7882,120,1,5,2,200,1,25,3.0,4,8,1
97,1962,0,259,491,210,135.2,14,2,32640,3,0,1,17,200,0,0,0.0,2,2,0
27,2742,9,1140,435,554,139.2,11,210,16050,103,0,3,2,375,0,0,3.0,7,7,0
149,2449,4,368,1013,706,58.2,991,17,7664,15,4,2,64,1649,0,8,2.0,6,6,0
3451,2022,2,238,2060,104,126.7,43,140,29100,2,5,1,7,200,0,2,0.0,0,1,0
7,1343,5,1034,602,452,158.5,185,1,21320,178,13,3,2,200,0,20,5.0,6,7,0
2861,4270,1,36,276,94,133.4,44,446,21570,4,0,0,47,200,0,0,4.0,2,2,0
27,1356,2,227,511,244,128.0,21,2,18410,4,0,3,21,200,0,1,0.0,5,4,0
1055,1350,2,46,214,66,161.9,20,162,13270,5,2,2,0,410,1,0,0.0,2,0,0
125,1389,0,83,2448,103,146.1,18,13,33060,10,0,3,0,589,0,1,0.0,1,0,0
3166,1546,5,144,191,139,160.9,105,135,17950,4,2,2,0,200,0,15,1.0,1,0,0
144,3828,0,161,2901,1300,143.7,6,12,39500,3,9,3,1,200,0,3,0.0,4,9,0
6,3266,0,36,984,32,131.1,29,0,20020,0,0,10,3,200,0,3,0.0,0,0,0
30,1669,0,845,318,263,125.9,15,2,21580,49,0,0,0,200,0,0,0.0,2,2,0
185,7941,1,76,926,89,64.2,1170,0,3505,9,0,0,12,1600,0,8,3.0,0,0,0
16,1406,2,1020,946,203,130.8,46,0,21160,45,5,0,24,200,2,2,1.0,7,4,0
132,1857,2,4283,1121,352,129.9,4,26,22760,143,0,0,1,1057,0,1,5.0,4,3,0
51,4549,0,51,448,170,140.2,26,5,27090,5,0,2,10,200,0,2,1.0,2,3,0
9,4867,0,72,2143,156,178.6,36,27,25820,9,2,2,48,200,0,2,1.0,2,2,0
191,3676,0,178,2558,70,139.2,10,5,32750,3,0,3,0,200,0,1,6.0,1,0,0
71,4539,15,1849,968,1410,131.4,46,168,19510,547,4,3,5,200,0,6,9.0,14,16,0
